# StartTime = 07/20/2018 01:27:32.0329 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,0,2082,0,0
0.064,0,2082,50.98039,81.17647
0.128,45.98147,2082,50.98039,81.17647
0.188,45.98147,2082,50.98039,81.17647
0.25,45.98147,2097,58.82353,81.17647
0.314,45.98147,2097,58.82353,86.66666
0.377,46.60284,2097,58.82353,86.66666
0.439,46.60284,2109,64.31373,86.66666
0.504,46.60284,2109,64.31373,88.23529
0.564,46.60284,2109,64.31373,88.23529
0.628,46.60284,2124,64.31373,88.23529
0.688,46.60284,2124,64.31373,81.96078
0.75,46.60284,2124,64.31373,81.96078
0.814,46.60284,2124,64.31373,81.96078
0.878,46.60284,2140,64.31373,81.96078
0.938,47.22421,2140,64.31373,73.72549
1,47.22421,2140,64.31373,73.72549
1.064,47.22421,2150,64.31373,73.72549
1.128,47.22421,2150,62.35294,81.96078
1.188,47.22421,2150,62.35294,81.96078
1.25,47.22421,2150,62.35294,81.96078
1.314,47.22421,2165,60,81.96078
1.378,47.84558,2165,60,87.05882
1.438,47.84558,2165,60,87.05882
1.5,47.84558,2188,58.43137,87.05882
1.564,47.84558,2188,58.43137,74.11765
1.628,48.46695,2188,58.43137,74.11765
1.688,48.46695,2188,58.43137,74.11765
1.75,48.46695,2210,57.2549,74.11765
1.814,48.46695,2210,57.2549,84.70588
1.878,48.46695,2210,57.2549,84.70588
1.938,48.46695,2215,56.47059,84.70588
2.001,48.46695,2215,56.47059,85.88235
2.065,48.46695,2215,56.47059,85.88235
2.125,48.46695,2232,56.47059,85.88235
2.189,48.46695,2232,56.07843,76.47059
2.251,49.08833,2232,56.07843,76.47059
2.315,49.08833,2232,56.07843,76.47059
2.378,49.08833,2244,55.68628,76.47059
2.438,49.08833,2244,55.68628,75.29412
2.5,49.70969,2244,55.68628,75.29412
2.565,49.70969,2263,55.68628,75.29412
2.625,49.70969,2263,55.68628,75.68627
2.689,49.70969,2263,55.68628,75.68627
2.751,49.70969,2276,55.68628,75.68627
2.815,49.70969,2276,53.72549,74.11765
2.875,50.33107,2276,53.72549,74.11765
2.939,50.33107,2295,53.72549,74.11765
3,50.33107,2295,52.15686,74.11765
3.064,50.33107,2295,52.15686,81.56863
3.128,50.33107,2295,52.15686,81.56863
3.188,50.33107,2304,48.23529,81.56863
3.25,50.95244,2304,48.23529,84.31373
3.314,50.95244,2304,48.23529,84.31373
3.378,50.95244,2308,48.23529,84.31373
3.441,50.95244,2308,44.31372,75.68627
3.5,50.95244,2308,44.31372,75.68627
3.563,50.95244,2328,44.31372,75.68627
3.626,50.95244,2328,40.78431,81.17647
3.689,51.57381,2328,40.78431,81.17647
3.751,51.57381,2328,40.78431,81.17647
3.815,51.57381,2337,40,81.17647
3.875,51.57381,2337,40,74.11765
3.939,51.57381,2337,40,74.11765
4,51.57381,2359,40,74.11765
4.064,51.57381,2359,40.39216,79.60784
4.128,52.19518,2359,40.39216,79.60784
4.188,52.19518,2368,40.39216,79.60784
4.25,52.19518,2368,39.21569,81.17647
4.314,52.19518,2368,39.21569,81.17647
4.377,52.19518,2368,39.21569,81.17647
4.438,52.19518,2381,37.64706,81.17647
4.5,52.19518,2381,37.64706,79.60784
4.564,52.81655,2381,37.64706,79.60784
4.627,52.81655,2381,37.64706,79.60784
4.687,52.81655,2396,37.64706,79.60784
4.75,52.81655,2396,37.64706,77.25491
4.814,52.81655,2396,37.64706,77.25491
4.878,52.81655,2410,36.07843,77.25491
4.938,52.81655,2410,36.07843,77.25491
5,52.81655,2410,36.07843,77.25491
5.064,52.81655,2419,36.07843,77.25491
5.128,52.81655,2419,34.11765,74.90196
5.188,53.43792,2419,34.11765,74.90196
5.251,53.43792,2419,34.11765,74.90196
5.315,53.43792,2435,34.5098,74.90196
5.375,53.43792,2435,34.5098,77.25491
5.439,53.43792,2435,34.5098,77.25491
5.5,53.43792,2446,34.5098,77.25491
5.564,53.43792,2446,33.72549,76.07843
5.629,54.05929,2446,33.72549,76.07843
5.69,54.05929,2450,33.72549,76.07843
5.75,54.05929,2450,33.72549,73.72549
5.814,54.05929,2450,33.72549,73.72549
5.878,54.05929,2450,33.72549,73.72549
5.938,54.05929,2461,32.94118,73.72549
6.001,54.68066,2461,32.94118,75.68627
6.065,54.68066,2461,32.94118,75.68627
6.125,54.68066,2485,32.94118,75.68627
6.189,54.68066,2485,32.94118,73.72549
6.25,54.68066,2485,32.94118,73.72549
6.314,54.68066,2499,32.94118,73.72549
6.378,54.68066,2499,32.94118,75.68627
6.439,54.68066,2499,32.94118,75.68627
6.5,54.68066,2506,32.94118,75.68627
6.564,54.68066,2506,31.76471,73.33334
6.628,55.30204,2506,31.76471,73.33334
6.687,55.30204,2506,31.76471,73.33334
6.75,55.30204,2521,31.76471,73.33334
6.814,55.30204,2521,31.76471,73.72549
6.878,55.30204,2521,31.76471,73.72549
6.938,55.30204,2534,31.76471,73.72549
7,55.30204,2534,30.98039,72.15686
7.064,55.92341,2534,30.98039,72.15686
7.128,55.92341,2534,30.98039,72.15686
7.188,55.92341,2549,31.37255,72.15686
7.25,55.92341,2549,31.37255,71.37255
7.314,55.92341,2549,31.37255,71.37255
7.378,55.92341,2557,31.37255,71.37255
7.438,55.92341,2557,30.58824,69.80392
7.5,56.54478,2557,30.58824,69.80392
7.564,56.54478,2568,30.58824,69.80392
7.628,56.54478,2568,30.58824,70.19608
7.687,56.54478,2568,30.58824,70.19608
7.75,56.54478,2568,30.58824,70.19608
7.814,56.54478,2579,30.58824,70.98039
7.878,57.16615,2579,30.58824,70.98039
7.938,57.16615,2579,30.58824,70.98039
8,57.16615,2589,30.19608,70.98039
8.064,57.16615,2589,30.19608,70.98039
8.128,57.16615,2589,30.19608,70.98039
8.188,57.16615,2593,30.19608,70.98039
8.25,57.16615,2593,29.80392,69.41177
8.314,57.16615,2593,29.80392,69.41177
8.378,57.16615,2593,29.80392,69.41177
8.44,57.16615,2607,29.80392,69.41177
8.503,57.78752,2607,29.80392,69.01961
8.566,57.78752,2607,29.80392,69.01961
8.625,57.78752,2624,29.01961,69.01961
8.688,57.78752,2624,29.01961,67.84314
8.75,57.78752,2624,29.01961,67.84314
8.814,57.78752,2623,29.01961,67.84314
8.878,57.78752,2623,29.01961,66.27451
8.938,57.78752,2623,29.01961,66.27451
9,57.78752,2643,29.01961,66.27451
9.064,57.78752,2643,29.01961,67.84314
9.128,58.40889,2643,29.01961,67.84314
9.188,58.40889,2643,29.01961,67.84314
9.251,58.40889,2652,27.84314,67.84314
9.315,58.40889,2652,27.84314,63.52941
9.375,58.40889,2652,27.84314,63.52941
9.439,58.40889,2655,27.84314,63.52941
9.501,58.40889,2655,27.84314,64.31373
9.565,58.40889,2655,27.84314,64.31373
9.625,58.40889,2670,27.84314,64.31373
9.689,58.40889,2670,27.84314,65.09804
9.753,59.03026,2670,27.84314,65.09804
9.814,59.03026,2675,27.84314,65.09804
9.878,59.03026,2675,27.84314,64.70588
9.938,59.03026,2675,27.84314,64.70588
10,59.03026,2675,27.84314,64.70588
10.064,59.03026,2686,27.84314,64.70588
10.128,59.03026,2686,27.84314,63.52941
10.188,59.03026,2686,27.84314,63.52941
10.25,59.03026,2686,27.84314,63.52941
10.314,59.03026,2696,27.84314,63.52941
10.378,59.65163,2696,27.84314,63.52941
10.438,59.65163,2703,27.84314,63.52941
10.5,59.65163,2703,27.84314,63.52941
10.564,59.65163,2703,27.84314,65.09804
10.625,59.65163,2703,27.84314,65.09804
10.689,59.65163,2720,28.62745,65.09804
10.75,59.65163,2720,28.62745,64.70588
10.812,59.65163,2720,28.62745,64.70588
10.876,59.65163,2730,28.62745,64.70588
10.94,59.65163,2730,30.19608,65.09804
11,59.65163,2730,30.19608,65.09804
11.064,59.65163,2730,30.19608,65.09804
11.128,59.65163,2732,30.19608,65.09804
11.188,59.65163,2732,30.19608,68.23529
11.25,60.27301,2732,30.19608,68.23529
11.314,60.27301,2750,30.19608,68.23529
11.378,60.27301,2750,32.54902,74.11765
11.438,60.27301,2750,32.54902,74.11765
11.5,60.27301,2750,32.54902,74.11765
11.564,60.27301,2744,33.72549,74.11765
11.628,60.27301,2744,33.72549,71.76471
11.688,60.27301,2744,33.72549,71.76471
11.75,60.27301,2767,33.72549,71.76471
11.813,60.27301,2767,33.72549,72.94118
11.876,60.89438,2767,33.72549,72.94118
11.94,60.89438,2773,33.72549,72.94118
12,60.89438,2773,33.72549,71.76471
12.064,60.89438,2773,33.72549,71.76471
12.128,60.89438,2773,33.72549,71.76471
12.188,60.89438,2779,36.07843,71.76471
12.251,60.89438,2779,36.07843,77.64706
12.315,60.89438,2779,36.07843,77.64706
12.375,60.89438,2791,36.07843,77.64706
12.438,60.89438,2791,36.47059,73.72549
12.5,61.51575,2791,36.47059,73.72549
12.564,61.51575,2804,36.47059,73.72549
12.628,61.51575,2804,49.01961,85.09804
12.688,61.51575,2804,49.01961,85.09804
12.751,61.51575,2804,49.01961,85.09804
12.815,61.51575,2817,51.76471,85.09804
12.875,62.13712,2817,51.76471,73.33334
12.939,62.13712,2817,51.76471,73.33334
13,62.13712,2818,51.76471,73.33334
13.064,62.13712,2818,51.37255,78.43137
13.128,62.13712,2818,51.37255,78.43137
13.188,62.13712,2830,51.37255,78.43137
13.25,62.13712,2830,47.45098,83.92157
13.314,62.75849,2830,47.45098,83.92157
13.378,62.75849,2830,47.45098,83.92157
13.441,62.75849,2843,44.31372,83.92157
13.504,62.75849,2843,44.31372,83.13725
13.563,62.75849,2843,44.31372,83.13725
13.626,62.75849,2856,43.13726,83.13725
13.688,62.75849,2856,43.13726,82.35294
13.751,62.75849,2856,43.13726,82.35294
13.815,62.75849,2870,43.13726,82.35294
13.879,62.75849,2870,43.13726,83.52941
13.94,63.37986,2870,43.13726,83.52941
14,63.37986,2870,43.13726,83.52941
14.064,63.37986,2873,40.78431,83.52941
14.128,63.37986,2873,40.78431,79.60784
14.188,63.37986,2873,40.78431,79.60784
14.25,63.37986,2873,40.78431,79.60784
14.314,63.37986,2891,40.78431,79.60784
14.378,64.00124,2891,40.78431,74.5098
14.438,64.00124,2891,40.78431,74.5098
14.5,64.00124,2900,40.39216,74.5098
14.564,64.00124,2900,40.39216,74.90196
14.628,64.00124,2900,40.39216,74.90196
14.688,64.00124,2914,40.39216,74.90196
14.75,64.00124,2914,40.39216,80.39216
14.814,64.00124,2914,40.39216,80.39216
14.877,64.00124,2914,40.39216,80.39216
14.941,64.00124,2926,40,80.39216
15,64.6226,2926,40,74.5098
15.064,64.6226,2926,40,74.5098
15.128,64.6226,2944,40,74.5098
15.188,64.6226,2944,40,78.03922
15.25,64.6226,2944,40,78.03922
15.314,64.6226,2945,40,78.03922
15.378,64.6226,2945,40,78.03922
15.438,65.24397,2945,40,73.33334
15.5,65.24397,2945,40,73.33334
15.564,65.24397,2965,40,73.33334
15.628,65.24397,2965,40,76.07843
15.688,65.24397,2965,40,76.07843
15.75,65.24397,2969,40,76.07843
