# StartTime = 07/20/2018 01:28:38.4562 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,42.87461,0,0,0
0.065,42.87461,0,0,0
0.125,42.87461,1898,26.27451,0
0.186,43.49598,1898,26.27451,67.84314
0.25,43.49598,1898,26.27451,67.84314
0.312,43.49598,2006,26.27451,67.84314
0.376,43.49598,2006,28.62745,70.98039
0.44,42.87461,2006,28.62745,70.98039
0.5,42.87461,1959,28.62745,70.98039
0.565,42.87461,1959,28.62745,70.19608
0.625,43.49598,1959,28.62745,70.19608
0.689,43.49598,1959,28.62745,70.19608
0.749,43.49598,1993,28.62745,70.19608
0.811,43.49598,1993,28.62745,72.15686
0.875,43.49598,1993,28.62745,72.15686
0.939,43.49598,1987,29.41176,72.15686
0.999,43.49598,1987,29.41176,77.25491
1.065,44.11736,1987,29.41176,77.25491
1.125,44.11736,1994,29.41176,77.25491
1.186,44.11736,1994,31.76471,77.25491
1.252,44.11736,1994,31.76471,76.07843
1.315,44.11736,1994,31.76471,76.07843
1.375,44.11736,2006,32.94118,76.07843
1.439,44.11736,2006,32.94118,75.29412
1.499,44.11736,2006,32.94118,75.29412
1.565,44.11736,2008,32.94118,75.29412
1.625,44.11736,2008,34.11765,78.43137
1.689,44.11736,2008,34.11765,78.43137
1.749,44.11736,2008,34.11765,78.43137
1.811,44.11736,2016,34.11765,78.43137
1.875,44.73873,2016,34.11765,74.90196
1.939,44.73873,2016,34.11765,74.90196
2,44.73873,2032,34.11765,74.90196
2.063,44.73873,2032,34.5098,77.64706
2.126,44.73873,2032,34.5098,77.64706
2.189,44.73873,2040,34.5098,77.64706
2.252,44.73873,2040,39.21569,78.03922
2.317,44.73873,2040,39.21569,78.03922
2.377,44.73873,2044,39.21569,78.03922
2.437,44.73873,2044,40,78.03922
2.501,45.3601,2044,40,82.35294
2.565,45.3601,2044,40,82.35294
2.625,45.3601,2058,40,82.35294
2.689,45.3601,2058,40,77.64706
2.749,45.3601,2058,40,77.64706
2.815,45.3601,2067,40,77.64706
2.875,45.3601,2067,40,76.07843
2.939,45.3601,2067,40,76.07843
2.999,45.3601,2067,40,76.07843
3.065,45.3601,2076,40,76.07843
3.125,45.3601,2076,40,78.82353
3.189,45.98147,2076,40,78.82353
3.248,45.98147,2076,40,78.82353
3.315,45.98147,2087,40,78.82353
3.375,45.98147,2087,40,83.52941
3.439,45.98147,2087,40,83.52941
3.499,45.98147,2093,40,83.52941
3.565,45.98147,2093,40,81.56863
3.625,45.98147,2093,40,81.56863
3.689,45.98147,2109,40,81.56863
3.749,45.98147,2109,40,83.13725
3.815,46.60284,2109,40,83.13725
3.875,46.60284,2116,40,83.13725
3.939,46.60284,2116,40,81.96078
4.002,46.60284,2116,40,81.96078
4.065,46.60284,2116,40,81.96078
4.125,46.60284,2126,39.21569,81.96078
4.188,46.60284,2126,39.21569,81.96078
4.25,46.60284,2126,39.21569,81.96078
4.312,46.60284,2142,38.43137,81.96078
4.376,46.60284,2142,38.43137,79.60784
4.436,47.22421,2142,38.43137,79.60784
4.5,47.22421,2147,38.43137,79.60784
4.565,47.22421,2147,37.64706,76.07843
4.625,47.22421,2147,37.64706,76.07843
4.689,47.22421,2158,37.64706,76.07843
4.749,47.22421,2158,36.86274,76.07843
4.815,47.84558,2158,36.86274,78.43137
4.875,47.84558,2158,36.86274,78.43137
4.939,47.84558,2163,36.86274,78.43137
4.999,47.84558,2163,35.29412,78.03922
5.065,47.84558,2163,35.29412,78.03922
5.125,47.84558,2163,35.29412,78.03922
5.189,47.84558,2177,33.33333,78.03922
5.249,48.46695,2177,33.33333,76.07843
5.311,48.46695,2177,33.33333,76.07843
5.376,48.46695,2193,33.72549,76.07843
5.436,48.46695,2193,33.72549,76.47059
5.5,48.46695,2193,33.72549,76.47059
5.565,48.46695,2202,33.72549,76.47059
5.625,48.46695,2202,33.72549,76.47059
5.689,48.46695,2202,33.72549,74.5098
5.749,48.46695,2202,33.72549,74.5098
5.815,48.46695,2213,33.72549,74.5098
5.875,48.46695,2213,33.72549,77.64706
5.939,49.08833,2213,33.72549,77.64706
5.999,49.08833,2226,33.72549,77.64706
6.065,49.08833,2226,41.96078,85.4902
6.125,49.08833,2226,41.96078,85.4902
6.189,49.08833,2226,41.96078,85.4902
6.249,49.08833,2232,48.62745,85.4902
6.315,49.08833,2232,48.62745,80.39216
6.374,49.08833,2232,48.62745,80.39216
6.438,49.08833,2244,48.62745,80.39216
6.502,49.08833,2244,52.15686,75.29412
6.565,49.70969,2244,52.15686,75.29412
6.625,49.70969,2244,52.15686,75.29412
6.689,49.70969,2244,47.05882,72.15686
6.749,49.08833,2244,47.05882,72.15686
6.812,49.08833,2244,47.05882,72.15686
6.876,49.08833,2261,46.66667,72.15686
6.936,49.08833,2261,46.66667,76.86275
7,49.70969,2261,46.66667,76.86275
7.063,49.70969,2263,46.66667,76.86275
7.126,49.70969,2263,46.66667,76.86275
7.189,49.70969,2263,46.66667,76.86275
7.252,49.70969,2271,46.66667,76.86275
7.311,49.70969,2271,46.27451,76.86275
7.375,50.33107,2271,46.27451,77.25491
7.436,50.33107,2271,46.27451,77.25491
7.5,50.33107,2279,37.64706,77.25491
7.565,50.33107,2279,37.64706,75.68627
7.625,50.33107,2279,37.64706,75.68627
7.689,50.33107,2297,37.64706,75.68627
7.749,50.33107,2297,45.09804,75.68627
7.815,50.33107,2297,45.09804,87.05882
7.875,50.33107,2297,45.09804,87.05882
7.939,50.33107,2304,46.27451,87.05882
7.999,50.33107,2304,46.27451,76.86275
8.061,50.33107,2304,46.27451,76.86275
8.125,50.33107,2318,46.27451,76.86275
8.189,50.33107,2318,45.88235,85.4902
8.249,50.95244,2318,45.88235,85.4902
8.315,50.95244,2318,45.88235,85.4902
8.375,50.95244,2314,45.88235,85.4902
8.436,50.95244,2314,45.88235,76.86275
8.5,50.95244,2314,45.88235,76.86275
8.565,50.95244,2334,46.27451,76.86275
8.625,50.95244,2334,46.27451,81.56863
8.689,50.95244,2334,46.27451,81.56863
8.749,50.95244,2334,46.27451,81.56863
8.815,50.95244,2322,46.27451,76.47059
8.875,50.95244,2322,46.27451,76.47059
8.939,50.95244,2322,46.27451,76.47059
8.999,50.95244,2336,46.27451,76.47059
9.065,51.57381,2336,46.27451,82.35294
9.125,51.57381,2336,46.27451,82.35294
9.189,51.57381,2346,46.27451,82.35294
9.249,51.57381,2346,44.70588,75.29412
9.315,51.57381,2346,44.70588,75.29412
9.375,51.57381,2346,44.70588,75.29412
9.439,51.57381,2351,45.09804,75.29412
9.499,51.57381,2351,45.09804,83.13725
9.561,51.57381,2351,45.09804,83.13725
9.625,51.57381,2356,45.09804,83.13725
9.689,51.57381,2356,44.70588,81.96078
9.749,52.19518,2356,44.70588,81.96078
9.815,52.19518,2366,44.70588,81.96078
9.875,52.19518,2366,43.92157,74.11765
9.939,52.19518,2366,43.92157,74.11765
9.999,52.19518,2366,43.92157,74.11765
10.065,52.19518,2371,43.92157,74.11765
10.125,52.19518,2371,43.92157,79.60784
10.189,52.19518,2371,43.92157,79.60784
10.249,52.19518,2381,43.92157,79.60784
10.315,52.19518,2381,44.31372,82.35294
10.375,52.19518,2381,44.31372,82.35294
10.438,52.19518,2392,44.31372,82.35294
10.504,52.19518,2392,43.13726,80.78432
10.565,52.19518,2392,43.13726,80.78432
10.625,52.19518,2392,43.13726,80.78432
10.689,52.19518,2394,41.56863,80.78432
10.749,52.81655,2394,41.56863,80
10.815,52.81655,2394,41.56863,80
10.875,52.81655,2403,43.52941,80
10.939,52.81655,2403,43.52941,78.43137
10.999,52.81655,2403,43.52941,78.43137
11.065,52.81655,2403,43.52941,78.43137
11.125,52.81655,2403,43.52941,76.86275
11.189,52.81655,2403,43.52941,76.86275
11.249,52.81655,2403,43.52941,76.86275
11.315,52.81655,2417,42.7451,76.86275
11.375,52.81655,2417,42.7451,76.86275
11.439,52.81655,2417,42.7451,76.86275
11.499,52.81655,2420,42.7451,76.86275
11.561,52.81655,2420,42.7451,77.64706
11.625,53.43792,2420,42.7451,77.64706
11.689,53.43792,2421,42.7451,77.64706
11.749,53.43792,2421,42.7451,79.60784
11.815,53.43792,2421,42.7451,79.60784
11.875,53.43792,2421,42.7451,79.60784
11.939,53.43792,2446,41.96078,79.60784
11.999,53.43792,2446,41.96078,82.35294
12.061,53.43792,2446,41.96078,82.35294
12.124,53.43792,2444,41.96078,82.35294
12.187,53.43792,2444,41.96078,76.07843
12.25,53.43792,2444,41.96078,76.07843
12.313,53.43792,2432,41.96078,76.07843
12.373,53.43792,2432,40.78431,76.07843
12.437,53.43792,2432,40.78431,76.86275
12.499,53.43792,2432,40.78431,76.86275
12.564,53.43792,2441,40,76.86275
12.626,54.05929,2441,40,80.78432
12.686,54.05929,2441,40,80.78432
12.75,54.05929,2458,40.39216,80.78432
12.815,54.05929,2458,40.39216,79.60784
12.875,54.05929,2458,40.39216,79.60784
12.939,54.05929,2454,40.39216,79.60784
12.999,54.05929,2454,40.39216,79.60784
13.065,54.05929,2454,40.39216,76.07843
13.125,54.05929,2454,40.39216,76.07843
13.189,54.05929,2458,40.39216,76.07843
13.249,54.05929,2458,40.39216,80.78432
13.315,54.05929,2458,40.39216,80.78432
13.375,54.05929,2467,40.39216,80.78432
13.439,54.05929,2467,40.39216,75.68627
13.499,54.05929,2467,40.39216,75.68627
13.565,54.05929,2459,40.39216,75.68627
13.627,54.05929,2459,40.39216,80
13.687,54.68066,2459,40.39216,80
13.751,54.68066,2459,40.39216,80
13.812,54.68066,2487,40.39216,80
13.876,54.68066,2487,40.39216,77.64706
13.94,54.68066,2487,40.39216,77.64706
14,54.68066,2479,40.39216,77.64706
14.065,54.68066,2479,40.39216,79.21568
14.125,54.68066,2479,40.39216,79.21568
14.189,54.68066,2495,40.39216,79.21568
14.249,54.68066,2495,40.39216,79.21568
14.315,54.68066,2495,40.39216,75.68627
14.375,54.68066,2494,40.39216,75.68627
14.439,54.68066,2494,40.78431,75.68627
14.499,54.68066,2494,40.78431,82.35294
14.565,54.68066,2494,40.78431,82.35294
14.624,54.68066,2500,40.78431,82.35294
14.689,54.68066,2500,40.78431,76.07843
14.749,55.30204,2500,40.78431,76.07843
14.815,55.30204,2500,40.78431,76.07843
14.875,55.30204,2501,38.82353,76.07843
14.939,55.30204,2501,38.82353,76.07843
14.999,55.30204,2501,38.82353,76.07843
15.065,55.30204,2517,38.82353,76.07843
15.125,55.30204,2517,38.82353,79.21568
15.189,55.30204,2517,38.82353,79.21568
15.249,55.30204,2538,38.82353,79.21568
15.315,55.30204,2538,38.82353,76.47059
15.375,55.30204,2538,38.82353,76.47059
15.439,55.30204,2538,38.82353,76.47059
15.499,55.30204,2538,38.82353,76.47059
15.565,55.30204,2538,38.82353,75.68627
15.625,55.30204,2538,38.82353,75.68627
15.686,55.30204,2531,38.43137,75.68627
15.75,55.30204,2531,38.43137,76.86275
15.815,55.92341,2531,38.43137,76.86275
15.875,55.92341,2531,38.43137,76.86275
15.939,55.92341,2544,38.43137,76.86275
15.999,55.92341,2544,38.43137,77.25491
16.065,55.92341,2544,38.43137,77.25491
16.125,55.92341,2546,38.43137,77.25491
16.189,55.92341,2546,38.43137,78.03922
16.249,55.92341,2546,38.43137,78.03922
16.315,55.92341,2546,38.43137,78.03922
16.375,55.92341,2552,38.43137,78.03922
16.439,55.92341,2552,38.43137,78.82353
16.499,55.92341,2552,38.43137,78.82353
16.561,55.92341,2564,38.43137,78.82353
16.625,55.92341,2564,38.43137,78.43137
16.688,56.54478,2564,38.43137,78.43137
16.751,56.54478,2568,38.43137,78.43137
16.815,56.54478,2568,38.43137,76.86275
16.875,56.54478,2568,38.43137,76.86275
16.939,56.54478,2568,38.43137,76.86275
16.999,56.54478,2572,37.2549,76.86275
17.062,56.54478,2572,37.2549,75.68627
17.125,56.54478,2572,37.2549,75.68627
17.188,56.54478,2597,37.64706,75.68627
17.251,56.54478,2597,37.64706,74.11765
17.317,56.54478,2597,37.64706,74.11765
17.377,56.54478,2587,37.2549,74.11765
17.437,56.54478,2587,37.2549,74.90196
17.501,57.16615,2587,37.2549,74.90196
17.565,57.16615,2590,37.2549,74.90196
17.625,57.16615,2590,37.2549,76.47059
17.689,57.16615,2590,37.2549,76.47059
17.749,57.16615,2590,37.2549,76.47059
17.811,57.16615,2590,36.07843,76.47059
17.875,57.16615,2590,36.07843,76.47059
17.939,57.16615,2590,36.07843,76.47059
17.999,57.16615,2600,36.07843,76.47059
18.061,57.16615,2600,34.5098,71.37255
18.125,57.16615,2600,34.5098,71.37255
18.189,57.16615,2600,34.5098,71.37255
18.249,57.16615,2605,33.72549,71.37255
18.315,57.78752,2605,33.72549,72.94118
18.375,57.78752,2605,33.72549,72.94118
18.439,57.78752,2609,33.72549,72.94118
18.499,57.78752,2609,33.72549,74.5098
18.565,57.16615,2609,33.72549,74.5098
18.625,57.16615,2619,33.72549,74.5098
18.688,57.16615,2619,33.72549,72.54902
