# StartTime = 07/20/2018 02:05:13.6590 PM									
Time (sec)	 Vehicle speed (MPH)	 Engine RPM (RPM)	 Absolute throttle position (%)	 Absolute load value (%)		MPH	RPM	Throttle 	Load
0	0	2551	0	0					
0.061	0	2551	20.78431	44.31372					
0.124	55.92341	2551	20.78431	44.31372		57	2500	21	44
0.188	55.92341	2553	20.78431	44.31372		57	2500	21	44
0.252	55.92341	2553	20.39216	34.90196		57	2500	20	34
0.312	56.54478	2553	20.39216	34.90196		57	2500	20	34
0.375	56.54478	2553	20.39216	34.90196		57	2500	20	34
0.439	56.54478	2563	20.39216	34.90196		57	2625	20	34
0.499	56.54478	2563	19.60784	29.41176		57	2625	20	30
0.563	56.54478	2563	19.60784	29.41176		57	2625	20	30
0.624	56.54478	2568	19.60784	29.41176		57	2625	20	30
0.688	56.54478	2568	19.60784	27.45098		57	2625	20	28
0.752	56.54478	2568	19.60784	27.45098		57	2625	20	28
0.812	56.54478	2568	19.60784	27.45098		57	2625	20	28
0.874	56.54478	2571	19.21569	27.45098		57	2625	19	28
0.938	56.54478	2571	19.21569	25.4902		57	2625	19	26
1.002	56.54478	2571	19.21569	25.4902		57	2625	19	26
1.062	56.54478	2575	19.21569	25.4902		57	2625	19	26
1.128	56.54478	2575	19.21569	25.4902		57	2625	19	26
1.188	56.54478	2575	19.21569	25.4902		57	2625	19	26
1.251	56.54478	2586	19.21569	25.4902		57	2625	19	26
1.311	56.54478	2586	18.82353	25.4902		57	2625	19	26
1.374	56.54478	2586	18.82353	24.31373		57	2625	19	24
1.438	56.54478	2586	18.82353	24.31373		57	2625	19	24
1.499	56.54478	2586	18.82353	24.31373		57	2625	19	24
1.563	57.16615	2586	18.82353	23.52941		57	2625	19	24
1.624	57.16615	2586	18.82353	23.52941		57	2625	19	24
1.688	57.16615	2591	18.82353	23.52941		57	2625	19	24
1.752	57.16615	2591	18.43137	21.96078		57	2625	18	22
1.812	57.16615	2591	18.43137	21.96078		57	2625	18	22
1.874	57.16615	2591	18.43137	21.96078		57	2625	18	22
1.938	57.16615	2594	18.03922	21.96078		57	2625	18	22
2.002	57.16615	2594	18.03922	19.60784		57	2625	18	20
2.062	57.16615	2594	18.03922	19.60784		57	2625	18	20
2.124	57.16615	2593	15.29412	19.60784		57	2625	15	20
2.186	57.16615	2593	15.29412	10.58823		57	2625	15	10
2.25	57.16615	2593	15.29412	10.58823		57	2625	15	10
2.314	57.16615	2568	15.29412	10.58823		57	2625	15	10
2.374	57.16615	2568	15.68627	10.58823		57	2625	16	10
2.438	57.16615	2568	15.68627	10.19608		57	2625	16	10
2.501	57.16615	2568	15.68627	10.19608		57	2625	16	10
2.564	57.16615	2596	15.68627	10.19608		57	2625	16	10
2.627	57.16615	2596	15.68627	10.19608		57	2625	16	10
2.69	57.16615	2596	15.68627	10.19608		57	2625	16	10
2.749	57.16615	2596	15.68627	10.19608		57	2625	16	10
2.813	57.16615	2596	15.68627	9.803922		57	2625	16	10
2.874	57.16615	2596	15.68627	9.803922		57	2625	16	10
2.938	57.16615	2597	15.68627	9.803922		57	2625	16	10
3.002	57.16615	2597	15.68627	9.803922		57	2625	16	10
3.064	57.16615	2597	15.68627	9.803922		57	2625	16	10
3.124	57.16615	2597	15.68627	9.803922		57	2625	16	10
3.188	57.16615	2596	17.64706	9.803922		57	2625	18	10
3.252	57.16615	2596	17.64706	9.803922		57	2625	18	10
3.312	57.16615	2596	17.64706	9.803922		57	2625	18	10
3.374	57.16615	2591	17.64706	9.803922		57	2625	18	10
3.438	57.16615	2591	19.21569	18.82353		57	2625	19	18
3.502	57.16615	2591	19.21569	18.82353		57	2625	19	18
3.562	57.16615	2591	19.21569	18.82353		57	2625	19	18
3.625	57.16615	2608	21.17647	18.82353		57	2625	21	18
3.689	57.16615	2608	21.17647	24.70588		57	2625	21	24
