# StartTime = 07/20/2018 01:19:34.9419 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,0,0,0,0
0.063,0,0,0,0
0.126,0,0,0,0
0.186,0,0,0,0
0.25,0,0,0,0
0.313,0,0,0,0
0.376,0,0,0,0
0.435,0,779,14.5098,22.7451
0.498,0,779,14.5098,22.7451
0.561,0,781,14.5098,22.7451
0.624,0,781,14.5098,21.96078
0.688,0,781,14.5098,21.96078
0.748,0,781,14.5098,21.96078
0.813,0,777,14.5098,21.96078
0.873,0,777,14.5098,23.13725
0.937,0,777,14.5098,23.13725
0.997,0,786,14.5098,23.13725
1.061,0,786,14.5098,23.13725
1.123,0,786,14.5098,23.13725
1.187,0,780,14.5098,23.13725
1.25,0,780,14.5098,22.35294
1.31,0,780,14.5098,22.35294
1.374,0,780,14.5098,22.35294
1.438,0,788,14.5098,22.35294
1.498,0,788,14.5098,21.56863
1.563,0,788,14.5098,21.56863
1.623,0,788,14.5098,21.56863
1.687,0,787,14.5098,22.35294
1.747,0,787,14.5098,22.35294
1.813,0,787,14.5098,22.35294
1.873,0,775,14.5098,22.35294
1.937,0,775,14.5098,23.13725
1.997,0,775,14.5098,23.13725
2.06,0,781,14.5098,23.13725
2.124,0,781,14.5098,23.13725
2.187,0,781,14.5098,23.13725
2.247,0,782,14.5098,23.13725
2.31,0,782,14.5098,23.13725
2.374,0,782,14.5098,21.96078
2.438,0,782,14.5098,21.96078
2.498,0,790,14.5098,21.96078
2.562,0,790,14.5098,21.56863
2.622,0,790,14.5098,21.56863
2.686,0,784,14.5098,21.56863
2.75,0,784,14.5098,22.7451
2.813,0,784,14.5098,22.7451
2.873,0,782,14.5098,22.7451
2.937,0,782,14.5098,23.13725
2.997,0,782,14.5098,23.13725
3.06,0,779,14.5098,23.13725
3.126,0,779,14.5098,22.35294
3.19,0,779,14.5098,22.35294
3.25,0,779,14.5098,22.35294
3.313,0,787,14.5098,22.35294
3.373,0,787,14.5098,21.56863
3.437,0,787,14.5098,21.56863
3.497,0,791,14.5098,21.56863
3.563,0,791,14.5098,22.7451
3.623,0,791,14.5098,22.7451
3.687,0,791,14.5098,22.7451
3.747,0,791,14.5098,21.56863
3.813,0,791,14.5098,21.56863
3.873,0,791,14.5098,21.56863
3.937,0,791,14.5098,21.56863
3.997,0,791,14.5098,21.17647
4.063,0,791,14.5098,21.17647
4.123,0,783,14.5098,21.17647
4.187,0,783,14.5098,21.96078
4.247,0.6213712,783,14.5098,21.96078
4.313,0.6213712,788,14.5098,21.96078
4.373,0.6213712,788,14.5098,22.7451
4.437,0.6213712,788,14.5098,22.7451
4.497,0.6213712,788,14.5098,22.7451
4.563,0.6213712,793,14.5098,22.7451
4.623,0.6213712,793,14.5098,21.56863
4.687,0.6213712,793,14.5098,21.56863
4.747,0.6213712,784,14.5098,21.56863
4.813,0.6213712,784,14.5098,21.17647
4.873,1.242742,784,14.5098,21.17647
4.937,1.242742,784,14.5098,21.17647
4.997,1.242742,789,16.47059,21.17647
5.063,1.242742,789,16.47059,25.88235
5.123,1.242742,789,16.47059,25.88235
5.187,1.242742,831,17.64706,25.88235
5.249,1.864114,831,17.64706,52.54902
5.313,1.864114,831,17.64706,52.54902
5.372,1.864114,1092,17.64706,52.54902
5.435,1.864114,1092,18.03922,41.96078
5.498,1.864114,1092,18.03922,41.96078
5.561,1.864114,1279,18.03922,41.96078
5.624,1.864114,1279,19.60784,44.70588
5.687,2.485485,1279,19.60784,44.70588
5.747,2.485485,1359,19.60784,44.70588
5.813,2.485485,1359,20.39216,54.5098
5.873,4.349598,1359,20.39216,54.5098
5.937,4.349598,1359,20.39216,54.5098
5.997,4.349598,1427,20.39216,54.5098
6.06,5.592341,1427,20.39216,51.37255
6.124,5.592341,1427,20.39216,51.37255
6.188,5.592341,1372,20.39216,51.37255
6.248,6.213712,1372,20.39216,52.15686
6.313,6.213712,1372,20.39216,52.15686
6.373,6.213712,1281,20.39216,52.15686
6.437,6.213712,1281,21.17647,55.68628
6.497,6.835083,1281,21.17647,55.68628
6.563,6.835083,1281,21.17647,55.68628
6.623,6.835083,1686,22.7451,55.68628
6.687,6.835083,1686,22.7451,59.21569
6.747,8.699197,1686,22.7451,59.21569
6.813,8.699197,1798,23.13725,59.21569
6.873,8.699197,1798,23.13725,56.86274
6.937,9.320568,1798,23.13725,56.86274
6.997,9.320568,1798,23.13725,56.86274
7.063,9.320568,2114,23.92157,56.86274
7.123,10.56331,2114,23.92157,57.2549
7.187,10.56331,2114,23.92157,57.2549
7.247,10.56331,2317,24.31373,57.2549
7.311,10.56331,2317,24.31373,55.68628
7.374,11.80605,2317,24.31373,55.68628
7.438,11.80605,2566,24.31373,55.68628
7.498,11.80605,2566,24.70588,55.29412
7.563,13.04879,2566,24.70588,55.29412
7.623,13.04879,2566,24.70588,55.29412
7.687,13.04879,2773,24.31373,55.29412
7.747,14.29154,2773,24.31373,51.76471
7.813,14.29154,2773,24.31373,51.76471
7.873,14.29154,2988,24.31373,51.76471
7.937,14.29154,2988,24.31373,49.01961
7.997,14.91291,2988,24.31373,49.01961
