# StartTime = 07/20/2018 01:49:26.5171 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,0,0,0,0
0.064,18.64114,0,0,0
0.128,18.64114,3812,0,0
0.188,18.64114,3812,24.31373,40.39216
0.251,19.26251,3812,24.31373,40.39216
0.315,19.26251,3812,24.31373,40.39216
0.379,19.26251,3939,24.70588,40.39216
0.439,19.26251,3939,24.70588,39.21569
0.504,19.88388,3939,24.70588,39.21569
0.564,19.88388,3939,24.70588,39.21569
0.627,19.88388,4084,24.70588,39.21569
0.687,20.50525,4084,24.70588,39.60784
0.754,20.50525,4084,24.70588,39.60784
0.814,20.50525,4211,24.70588,39.60784
0.878,20.50525,4211,24.70588,39.60784
0.941,21.12662,4211,24.70588,39.60784
1,21.12662,4320,24.70588,39.60784
1.064,21.12662,4320,24.70588,38.03922
1.128,21.74799,4320,24.70588,38.03922
1.188,21.74799,4320,24.70588,38.03922
1.254,21.74799,4437,25.09804,38.03922
1.314,22.36936,4437,25.09804,38.03922
1.378,22.36936,4437,25.09804,38.03922
1.438,22.36936,4556,25.09804,38.03922
1.504,22.36936,4556,25.09804,37.64706
1.564,22.99073,4556,25.09804,37.64706
1.628,22.99073,4556,25.09804,37.64706
1.69,22.99073,4664,24.70588,37.64706
1.753,22.99073,4664,24.70588,36.86274
1.813,22.99073,4664,24.70588,36.86274
1.877,22.99073,4740,24.70588,36.86274
1.941,22.99073,4740,24.70588,33.72549
2,23.6121,4740,24.70588,33.72549
2.064,23.6121,4832,24.70588,33.72549
2.128,23.6121,4832,24.70588,33.72549
2.188,24.23348,4832,24.70588,33.33333
2.25,24.23348,4832,24.70588,33.33333
2.314,24.23348,4914,24.70588,33.33333
2.378,24.23348,4914,24.70588,32.54902
2.438,24.85485,4914,24.70588,32.54902
2.504,24.85485,5003,24.70588,32.54902
2.564,24.85485,5003,24.70588,31.37255
2.628,24.85485,5003,24.70588,31.37255
2.689,24.85485,5003,24.70588,31.37255
2.754,24.85485,5064,24.70588,31.37255
2.815,25.47622,5064,24.70588,30.98039
2.875,25.47622,5064,24.70588,30.98039
2.94,25.47622,5165,24.70588,30.98039
3,25.47622,5165,24.70588,31.76471
3.064,26.09759,5165,24.70588,31.76471
3.128,26.09759,5252,24.70588,31.76471
3.188,26.09759,5252,25.09804,31.76471
3.251,26.09759,5252,25.09804,31.76471
3.315,26.09759,5252,25.09804,31.76471
3.379,26.09759,5345,25.09804,31.76471
3.439,26.09759,5345,25.09804,31.76471
3.5,26.71896,5345,25.09804,31.76471
3.564,26.71896,5430,25.09804,31.76471
3.628,26.71896,5430,25.4902,31.76471
3.691,27.34033,5430,25.4902,31.76471
3.754,27.34033,5430,25.4902,31.76471
3.816,27.34033,5522,25.4902,31.76471
3.876,27.9617,5522,25.4902,32.15686
3.94,27.9617,5522,25.4902,32.15686
4,27.9617,5601,25.4902,32.15686
4.064,27.9617,5601,25.4902,32.15686
4.128,27.9617,5601,25.4902,32.15686
4.188,27.9617,5681,25.88235,32.15686
4.254,28.58307,5681,25.88235,32.54902
4.314,28.58307,5681,25.88235,32.54902
4.376,28.58307,5764,25.88235,32.54902
4.439,28.58307,5764,25.88235,32.94118
4.502,28.58307,5764,25.88235,32.94118
4.565,28.58307,5764,25.88235,32.94118
4.628,28.58307,5845,25.88235,32.94118
4.691,29.20445,5845,25.88235,32.54902
4.75,29.20445,5845,25.88235,32.54902
4.814,29.20445,5952,25.88235,32.54902
4.878,29.20445,5952,26.27451,33.33333
4.939,29.82582,5952,26.27451,33.33333
5.001,29.82582,5952,26.27451,33.33333
5.065,29.82582,6024,26.27451,33.33333
5.129,30.44719,6024,26.27451,32.94118
5.188,30.44719,6024,26.27451,32.94118
5.254,30.44719,6122,25.88235,32.94118
5.314,30.44719,6122,25.88235,32.94118
5.378,30.44719,6122,25.88235,32.94118
5.438,30.44719,6087,25.88235,32.94118
5.504,30.44719,6087,18.43137,20.78431
5.564,29.82582,6087,18.43137,20.78431
5.628,29.82582,5905,18.43137,20.78431
5.688,29.82582,5905,19.21569,20.78431
5.754,30.44719,5905,19.21569,10.58823
5.814,30.44719,5905,19.21569,10.58823
5.875,30.44719,5664,18.82353,10.58823
5.939,31.06856,5664,18.82353,10.98039
6.001,31.06856,5664,18.82353,10.98039
6.065,31.06856,5281,18.82353,10.98039
6.129,31.06856,5281,18.82353,10.98039
6.189,31.06856,5281,18.82353,10.98039
6.251,31.06856,4879,18.82353,10.98039
6.315,31.06856,4879,18.43137,10.98039
6.379,30.44719,4879,18.43137,10.98039
6.439,30.44719,4879,18.43137,10.98039
6.504,30.44719,4512,18.43137,10.98039
6.564,30.44719,4512,18.43137,11.37255
6.628,30.44719,4512,18.43137,11.37255
6.688,30.44719,4512,18.43137,11.37255
6.754,30.44719,4512,18.43137,11.37255
6.814,31.06856,4302,20.39216,20
6.878,31.06856,4136,20.39216,20
6.94,31.06856,4136,20,20
7.001,31.68993,4136,20,19.60784
7.065,31.68993,4136,20,19.60784
7.129,31.68993,3883,20,19.60784
7.189,31.68993,3883,20,20
7.254,31.68993,3883,20,20
7.314,31.68993,3630,20,20
7.378,31.68993,3630,19.60784,19.60784
7.438,32.3113,3630,19.60784,19.60784
7.504,32.3113,3630,19.60784,19.60784
7.564,32.3113,3709,20,19.60784
7.628,32.3113,3709,20,21.56863
7.688,32.3113,3709,20,21.56863
7.75,32.3113,3720,20,21.56863
7.814,32.3113,3720,20,21.56863
7.877,32.3113,3720,20,21.56863
7.943,32.3113,3750,20,21.56863
8.004,32.3113,3750,20.39216,21.56863
8.064,32.93267,3750,20.39216,22.7451
8.128,32.93267,3750,20.39216,22.7451
8.188,32.93267,3768,20.78431,22.7451
8.254,32.93267,3768,20.78431,23.52941
8.314,32.93267,3768,20.78431,23.52941
8.378,32.93267,3768,20.78431,23.52941
8.438,32.93267,3807,21.17647,23.52941
8.504,33.55404,3807,21.17647,23.92157
8.564,33.55404,3807,21.17647,23.92157
8.628,33.55404,3830,21.17647,23.92157
8.688,33.55404,3830,21.17647,24.70588
8.75,33.55404,3830,21.17647,24.70588
8.814,33.55404,3877,21.17647,24.70588
8.878,33.55404,3877,21.17647,25.09804
8.938,34.17542,3877,21.17647,25.09804
9,34.17542,3877,21.17647,25.09804
9.064,34.17542,3898,20.39216,25.09804
9.128,34.17542,3898,20.39216,24.70588
9.188,34.17542,3898,20.39216,24.70588
9.251,34.17542,3881,20.39216,24.70588
9.315,34.17542,3881,17.64706,13.33333
9.378,34.17542,3881,17.64706,13.33333
9.441,34.17542,3725,17.64706,13.33333
9.503,34.17542,3725,17.64706,13.33333
9.562,34.17542,3725,17.64706,12.15686
9.625,34.17542,3725,17.64706,12.15686
9.691,34.17542,3493,17.2549,12.15686
9.754,34.17542,3493,17.2549,11.76471
9.814,35.41816,3493,17.2549,11.76471
9.878,35.41816,3199,16.47059,11.76471
9.939,35.41816,3199,16.47059,11.76471
10,34.79679,3199,16.47059,11.76471
