# StartTime = 07/20/2018 01:46:41.8469 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,0,0,0,0
0.064,0,1985,0,0
0.124,0,1985,32.15686,0
0.186,35.41816,1985,32.15686,74.11765
0.25,35.41816,1985,32.15686,74.11765
0.314,35.41816,2018,32.15686,74.11765
0.375,36.6609,2018,32.15686,74.11765
0.436,36.6609,2018,32.15686,74.11765
0.5,36.6609,2044,32.15686,74.11765
0.564,36.6609,2044,30.58824,72.54902
0.624,36.6609,2044,30.58824,72.54902
0.686,36.6609,2044,30.58824,72.54902
0.75,36.6609,2097,30.58824,72.54902
0.814,37.28227,2097,30.58824,71.76471
0.876,37.28227,2097,30.58824,71.76471
0.936,37.28227,2133,30.58824,71.76471
1,37.28227,2133,30.58824,72.15686
1.064,38.52501,2133,30.58824,72.15686
1.124,38.52501,2171,30.58824,72.15686
1.186,38.52501,2171,30.98039,73.33334
1.25,39.14639,2171,30.98039,73.33334
1.314,39.14639,2171,30.98039,73.33334
1.373,39.14639,2190,30.98039,73.33334
1.436,39.14639,2190,30.98039,74.5098
1.5,39.76776,2190,30.98039,74.5098
1.565,39.76776,2242,31.37255,74.5098
1.625,39.76776,2242,31.37255,73.72549
1.686,39.76776,2242,31.37255,73.72549
1.75,39.76776,2242,31.37255,73.72549
1.814,39.76776,2283,31.37255,71.76471
1.874,40.38913,2283,31.37255,71.76471
1.938,40.38913,2311,31.37255,71.76471
1.998,40.38913,2311,30.58824,71.76471
2.062,41.63187,2311,30.58824,72.94118
2.126,41.63187,2311,30.58824,72.94118
2.186,41.63187,2343,30.58824,72.94118
2.25,42.25324,2343,29.41176,69.41177
2.314,42.25324,2343,29.41176,69.41177
2.373,42.25324,2382,29.41176,69.41177
2.436,42.25324,2382,29.41176,69.80392
2.5,42.87461,2382,29.41176,69.80392
2.565,42.87461,2382,29.41176,69.80392
2.625,42.87461,2410,29.80392,69.80392
2.686,42.87461,2410,29.80392,69.80392
2.75,42.87461,2410,29.80392,69.80392
2.814,42.87461,2446,29.80392,69.80392
2.874,42.87461,2446,29.80392,70.19608
2.936,44.11736,2446,29.80392,70.19608
3,44.11736,2471,29.80392,70.19608
3.062,44.11736,2471,28.62745,69.01961
3.126,44.11736,2471,28.62745,69.01961
3.186,44.11736,2471,28.62745,69.01961
3.25,44.11736,2518,27.84314,69.01961
3.314,44.11736,2518,27.84314,66.27451
3.373,44.73873,2518,27.84314,66.27451
3.436,44.73873,2518,27.84314,66.27451
3.5,44.73873,2538,27.45098,66.27451
3.565,45.3601,2538,27.45098,65.09804
3.625,45.3601,2538,27.45098,65.09804
3.686,45.3601,2568,26.66667,65.09804
3.75,45.98147,2568,26.66667,62.35294
3.814,45.98147,2568,26.66667,62.35294
3.874,45.98147,2602,26.66667,62.35294
3.936,45.98147,2602,25.88235,59.21569
3.999,46.60284,2602,25.88235,59.21569
4.062,46.60284,2627,25.88235,59.21569
4.125,46.60284,2627,25.09804,57.64706
4.188,47.22421,2627,25.09804,57.64706
4.251,47.22421,2627,25.09804,57.64706
4.315,47.22421,2650,23.92157,57.64706
4.375,47.22421,2650,23.92157,50.19608
4.436,47.22421,2650,23.92157,50.19608
4.5,47.22421,2673,23.52941,50.19608
4.565,47.22421,2673,23.52941,47.05882
4.625,47.84558,2673,23.52941,47.05882
4.686,47.84558,2695,23.52941,47.05882
4.75,47.84558,2695,22.7451,47.05882
4.814,48.46695,2695,22.7451,45.09804
4.874,48.46695,2695,22.7451,45.09804
4.936,48.46695,2719,22.7451,45.09804
5,48.46695,2719,22.7451,43.92157
5.063,48.46695,2719,22.7451,43.92157
5.123,48.46695,2738,22.7451,43.92157
5.186,48.46695,2738,22.7451,43.92157
5.25,49.08833,2738,22.7451,43.92157
5.314,49.08833,2757,22.7451,43.92157
5.376,49.08833,2757,22.7451,43.92157
5.437,49.08833,2757,22.7451,43.92157
5.501,49.08833,2757,22.7451,43.92157
5.561,49.08833,2776,22.35294,43.92157
