# StartTime = 07/20/2018 01:57:57.9559 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,33.55404,0,0,73.72549
0.065,33.55404,0,0,73.72549
0.125,33.55404,1922,0,73.72549
0.189,33.55404,1922,45.09804,85.4902
0.249,34.17542,1922,45.09804,85.4902
0.311,34.17542,1922,45.09804,85.4902
0.375,34.17542,1939,45.09804,85.4902
0.439,34.17542,1939,45.09804,80.78432
0.499,34.79679,1939,45.09804,80.78432
0.565,34.79679,1959,45.09804,80.78432
0.627,34.79679,1959,45.09804,82.35294
0.686,34.79679,1959,45.09804,82.35294
0.75,34.79679,1959,45.09804,82.35294
0.815,34.79679,1967,45.09804,82.35294
0.875,35.41816,1967,45.09804,83.13725
0.939,35.41816,1967,45.09804,83.13725
0.999,35.41816,1987,45.09804,83.13725
1.061,35.41816,1987,45.09804,81.56863
1.125,35.41816,1987,45.09804,81.56863
1.189,35.41816,2021,45.09804,81.56863
1.249,35.41816,2021,45.4902,71.37255
1.312,36.03953,2021,45.4902,71.37255
1.376,36.03953,2021,45.4902,71.37255
1.44,36.03953,2015,44.70588,81.56863
1.5,36.03953,2015,44.70588,81.56863
1.561,36.03953,2015,44.70588,81.56863
1.625,36.03953,2031,44.31372,81.56863
1.688,36.03953,2031,44.31372,72.94118
1.752,36.03953,2031,44.31372,72.94118
1.812,36.03953,2031,44.31372,72.94118
1.876,36.03953,2063,44.31372,83.92157
1.94,36.6609,2063,44.31372,83.92157
2,36.6609,2063,44.31372,83.92157
2.065,36.6609,2062,40.39216,83.92157
2.125,36.6609,2062,40.39216,78.82353
2.189,37.28227,2062,40.39216,78.82353
2.249,37.28227,2079,40.39216,78.82353
2.311,37.28227,2079,36.47059,73.72549
2.375,37.28227,2079,36.47059,73.72549
2.439,37.28227,2104,36.47059,73.72549
2.499,37.28227,2104,34.90196,73.72549
2.565,37.90364,2104,34.90196,74.11765
2.625,37.90364,2104,34.90196,74.11765
2.686,37.90364,2118,34.90196,74.11765
2.75,37.90364,2118,33.33333,74.11765
2.815,37.90364,2118,33.33333,74.11765
2.877,37.90364,2118,33.33333,74.11765
2.937,37.90364,2132,33.33333,74.11765
3.001,37.90364,2132,33.33333,75.68627
3.064,37.90364,2132,33.33333,75.68627
3.127,37.90364,2142,33.33333,75.68627
3.19,38.52501,2142,33.33333,77.25491
3.253,38.52501,2142,33.33333,77.25491
3.311,38.52501,2165,33.33333,77.25491
3.375,38.52501,2165,33.33333,77.25491
3.439,38.52501,2165,33.33333,77.25491
3.499,38.52501,2165,33.33333,77.25491
3.561,38.52501,2171,33.33333,74.11765
3.624,38.52501,2171,33.33333,74.11765
3.687,38.52501,2177,33.33333,74.11765
3.752,38.52501,2177,33.33333,76.86275
3.812,38.52501,2177,33.33333,76.86275
3.876,38.52501,2177,33.33333,76.86275
3.94,38.52501,2194,33.33333,76.86275
4,38.52501,2194,33.33333,74.90196
4.061,39.14639,2194,33.33333,74.90196
4.125,39.14639,2194,33.33333,74.90196
4.189,39.14639,2187,33.33333,74.90196
4.249,39.14639,2187,33.33333,76.86275
4.315,39.14639,2218,33.33333,76.86275
4.375,39.14639,2218,33.33333,76.86275
4.439,39.14639,2218,33.33333,76.47059
4.499,39.14639,2218,33.33333,76.47059
4.565,39.14639,2220,33.33333,76.47059
4.625,39.14639,2220,33.33333,76.47059
4.688,39.76776,2220,33.33333,76.47059
4.75,39.76776,2240,33.33333,76.47059
4.815,39.76776,2240,33.72549,76.47059
4.875,39.76776,2240,33.72549,76.47059
4.939,39.76776,2240,33.72549,76.47059
4.999,39.76776,2247,33.72549,76.47059
5.065,39.76776,2247,33.72549,76.47059
5.125,39.76776,2247,33.72549,76.47059
5.189,39.76776,2245,33.72549,76.47059
5.249,39.76776,2245,33.72549,76.86275
5.312,40.38913,2245,33.72549,76.86275
5.376,40.38913,2266,33.72549,76.86275
5.436,40.38913,2266,33.72549,74.90196
5.5,40.38913,2266,33.72549,74.90196
5.565,40.38913,2266,33.72549,74.90196
5.625,40.38913,2282,33.72549,72.94118
5.686,40.38913,2282,33.72549,72.94118
5.751,40.38913,2281,33.72549,72.94118
5.815,40.38913,2281,33.72549,72.94118
5.875,41.0105,2281,33.72549,74.11765
5.939,41.0105,2281,33.72549,74.11765
5.999,41.0105,2291,33.72549,74.11765
6.061,41.0105,2291,33.72549,76.47059
6.125,41.0105,2291,33.72549,76.47059
6.189,41.0105,2316,33.72549,76.47059
6.249,41.0105,2316,33.72549,73.72549
6.315,41.0105,2316,33.72549,73.72549
6.375,41.0105,2316,33.72549,73.72549
6.439,41.0105,2324,34.11765,73.72549
6.499,41.0105,2324,34.11765,75.68627
6.565,41.63187,2324,34.11765,75.68627
6.625,41.63187,2324,34.11765,75.68627
6.689,41.63187,2331,36.47059,75.68627
6.752,41.63187,2331,36.47059,77.64706
6.811,41.63187,2331,36.47059,77.64706
6.876,41.63187,2348,37.2549,77.64706
6.936,41.63187,2348,37.2549,78.03922
7,41.63187,2348,37.2549,78.03922
7.062,41.63187,2367,37.2549,78.03922
7.126,41.63187,2367,37.2549,73.72549
7.19,42.25324,2367,37.2549,73.72549
7.25,42.25324,2367,37.2549,73.72549
7.312,42.25324,2370,36.47059,73.72549
7.376,42.25324,2370,36.47059,77.64706
7.44,42.25324,2370,36.47059,77.64706
