# StartTime = 07/20/2018 01:21:08.4109 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,0,0,0,0
0.06,0,1883,25.4902,0
0.123,12.42742,1883,25.4902,69.80392
0.187,12.42742,1883,25.4902,69.80392
0.247,12.42742,1460,25.4902,69.80392
0.311,12.42742,1460,23.92157,69.80392
0.372,13.04879,1460,23.92157,69.80392
0.436,13.04879,1460,23.92157,69.80392
0.5,13.04879,1611,26.66667,69.80392
0.56,13.04879,1611,26.66667,76.07843
0.622,13.67017,1611,26.66667,76.07843
0.687,13.67017,1668,26.66667,76.07843
0.747,13.67017,1668,26.66667,67.05882
0.811,14.29154,1668,26.66667,67.05882
0.872,14.29154,1668,26.66667,67.05882
0.936,14.29154,1714,27.05882,67.05882
1,15.53428,1714,27.05882,69.41177
1.06,15.53428,1714,27.05882,69.41177
1.122,15.53428,1786,27.05882,69.41177
1.186,15.53428,1786,27.84314,70.19608
1.25,16.15565,1786,27.84314,70.19608
1.31,16.15565,1786,27.84314,70.19608
1.372,16.15565,1886,28.23529,70.19608
1.436,16.77702,1886,28.23529,70.58823
1.5,16.77702,1886,28.23529,70.58823
1.56,16.77702,1986,28.23529,70.58823
1.622,16.77702,1986,28.23529,70.58823
1.687,17.39839,1986,28.23529,70.58823
1.749,17.39839,2063,28.23529,70.58823
1.813,17.39839,2063,28.62745,70.58823
1.872,18.01976,2063,28.62745,70.58823
1.935,18.01976,2063,28.62745,70.58823
1.998,18.01976,2138,28.62745,70.58823
2.061,18.01976,2138,28.62745,72.15686
2.123,19.26251,2138,28.62745,72.15686
2.186,19.26251,2222,28.62745,72.15686
2.249,19.26251,2222,29.01961,70.98039
2.313,19.88388,2222,29.01961,70.98039
2.373,19.88388,2222,29.01961,70.98039
2.437,19.88388,2316,29.41176,70.98039
2.497,20.50525,2316,29.41176,70.98039
2.561,20.50525,2316,29.41176,70.98039
2.622,20.50525,2408,29.41176,70.98039
2.686,20.50525,2408,29.80392,70.19608
2.749,21.12662,2408,29.80392,70.19608
2.809,21.12662,2500,29.80392,70.19608
2.872,21.12662,2500,29.80392,70.58823
2.936,21.74799,2500,29.80392,70.58823
3,21.74799,2500,29.80392,70.58823
3.06,21.74799,2581,29.41176,70.58823
3.122,21.74799,2581,29.41176,69.01961
3.186,22.99073,2581,29.41176,69.01961
3.25,22.99073,2642,29.41176,69.01961
3.31,22.99073,2642,29.41176,67.45098
3.373,23.6121,2642,29.41176,67.45098
3.437,23.6121,2728,29.41176,67.45098
3.497,23.6121,2728,29.80392,67.45098
3.561,23.6121,2728,29.80392,67.84314
3.622,23.6121,2728,29.80392,67.84314
3.685,23.6121,2826,29.80392,67.84314
3.75,23.6121,2826,29.41176,68.23529
3.811,24.23348,2826,29.41176,68.23529
3.872,24.23348,2871,29.41176,68.23529
3.936,24.23348,2871,28.62745,68.23529
4,25.47622,2871,28.62745,64.70588
4.06,25.47622,2871,28.62745,64.70588
4.122,25.47622,2934,28.23529,64.70588
4.186,25.47622,2934,28.23529,65.09804
4.25,25.47622,2934,28.23529,65.09804
4.31,25.47622,2994,28.23529,65.09804
4.372,25.47622,2994,28.23529,63.52941
4.436,26.09759,2994,28.23529,63.52941
4.5,26.09759,2994,28.23529,63.52941
4.56,26.09759,3045,28.62745,63.52941
4.622,26.09759,3045,28.62745,63.52941
4.686,26.71896,3045,28.62745,63.52941
4.75,26.71896,3075,28.62745,63.52941
4.813,26.71896,3075,28.62745,64.31373
4.873,26.71896,3075,28.62745,64.31373
4.937,26.71896,3151,28.62745,64.31373
4.997,26.71896,3151,28.62745,62.7451
5.061,27.9617,3151,28.62745,62.7451
5.122,27.9617,3151,28.62745,62.7451
5.186,27.9617,3167,28.62745,62.7451
5.25,27.9617,3167,28.62745,63.52941
5.31,27.9617,3167,28.62745,63.52941
5.373,27.9617,3245,28.62745,63.52941
5.437,27.9617,3245,28.62745,63.13726
5.497,28.58307,3245,28.62745,63.13726
5.561,28.58307,3245,28.62745,63.13726
5.622,28.58307,3286,28.62745,63.13726
5.686,29.20445,3286,28.62745,63.92157
5.749,29.20445,3349,28.62745,63.92157
5.811,29.20445,3349,28.62745,63.92157
5.874,29.20445,3349,28.62745,65.88235
5.934,29.20445,3349,28.62745,65.88235
5.998,29.20445,3395,28.62745,65.88235
6.062,29.20445,3395,28.62745,64.70588
6.122,29.82582,3395,28.62745,64.70588
6.186,29.82582,3464,28.62745,64.70588
6.25,29.82582,3464,29.01961,65.4902
6.31,30.44719,3464,29.01961,65.4902
6.372,30.44719,3464,29.01961,65.4902
6.436,30.44719,3512,29.01961,65.4902
6.5,30.44719,3512,29.01961,63.92157
6.56,31.06856,3512,29.01961,63.92157
6.622,31.06856,3569,29.01961,63.92157
6.686,31.06856,3569,29.01961,64.70588
6.75,31.68993,3569,29.01961,64.70588
6.81,31.68993,3569,29.01961,64.70588
6.875,31.68993,3610,29.01961,64.70588
6.938,31.68993,3610,29.01961,64.31373
6.997,31.68993,3610,29.01961,64.31373
7.06,31.68993,3653,27.84314,64.31373
7.123,31.68993,3653,27.84314,58.82353
7.186,32.3113,3653,27.84314,58.82353
7.248,32.3113,3674,27.84314,58.82353
7.312,32.3113,3674,26.66667,53.72549
7.372,32.3113,3674,26.66667,53.72549
7.436,32.3113,3674,26.66667,53.72549
7.5,32.3113,3750,26.66667,53.72549
7.56,32.3113,3750,26.66667,53.72549
7.622,32.3113,3750,26.66667,53.72549
7.686,32.3113,3774,26.66667,53.72549
7.75,32.3113,3774,26.66667,53.33333
7.813,32.93267,3774,26.66667,53.33333
7.873,32.93267,3797,26.66667,53.33333
7.936,32.93267,3797,27.05882,53.72549
8,33.55404,3797,27.05882,53.72549
8.06,33.55404,3797,27.05882,53.72549
8.122,33.55404,3846,27.05882,53.72549
8.186,33.55404,3846,27.05882,54.5098
8.25,33.55404,3846,27.05882,54.5098
8.31,33.55404,3869,27.05882,54.5098
8.373,34.17542,3869,27.05882,53.33333
8.437,34.17542,3869,27.05882,53.33333
8.497,34.17542,3904,27.05882,53.33333
8.561,34.17542,3904,27.05882,54.11765
8.622,34.17542,3904,27.05882,54.11765
8.686,34.17542,3924,27.05882,54.11765
