# StartTime = 07/20/2018 01:43:06.2549 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,0,0,0,0
0.06,0,0,0,0
0.124,0,0,0,0
0.184,0,0,0,0
0.25,0,0,0,0
0.31,0,0,0,0
0.374,11.80605,1447,23.92157,65.88235
0.437,13.04879,1447,23.92157,65.88235
0.5,13.04879,1447,23.92157,65.88235
0.56,13.04879,1541,24.31373,65.88235
0.624,13.04879,1541,24.31373,63.52941
0.684,13.67017,1541,24.31373,63.52941
0.75,13.67017,1627,24.31373,63.52941
0.81,13.67017,1627,24.70588,63.52941
0.874,14.29154,1627,24.70588,63.52941
0.936,14.29154,1627,24.70588,63.52941
1,14.29154,1695,24.70588,63.52941
1.06,14.29154,1695,25.88235,65.09804
1.124,14.91291,1695,25.88235,65.09804
1.184,14.91291,1763,25.88235,65.09804
1.25,14.91291,1763,25.88235,63.92157
1.31,15.53428,1763,25.88235,63.92157
1.374,15.53428,1763,25.88235,63.92157
1.436,15.53428,1840,26.27451,63.92157
1.497,16.15565,1840,26.27451,63.52941
1.561,16.15565,1840,26.27451,63.52941
1.625,16.15565,1925,26.27451,63.52941
1.687,16.15565,1925,26.66667,65.09804
1.75,16.77702,1925,26.66667,65.09804
1.81,16.77702,1925,26.66667,65.09804
1.874,16.77702,1978,26.66667,65.09804
1.934,17.39839,1978,26.66667,65.4902
2,17.39839,1978,26.66667,65.4902
2.06,17.39839,2061,27.05882,65.4902
2.124,17.39839,2061,27.05882,66.66666
2.184,18.01976,2061,27.05882,66.66666
2.25,18.01976,2061,27.05882,66.66666
2.31,18.01976,2142,27.05882,66.66666
2.374,19.26251,2142,27.05882,67.84314
2.434,19.26251,2142,27.05882,67.84314
2.497,19.26251,2226,27.45098,67.84314
2.562,19.88388,2226,27.45098,67.45098
2.622,19.88388,2226,27.45098,67.45098
2.686,19.88388,2306,27.45098,67.45098
2.75,19.88388,2306,27.84314,67.45098
2.81,20.50525,2306,27.84314,67.45098
2.874,20.50525,2306,27.84314,67.45098
2.934,20.50525,2385,27.84314,67.45098
2.997,21.12662,2385,27.84314,66.66666
3.061,21.12662,2385,27.84314,66.66666
3.125,21.12662,2463,27.84314,66.66666
3.185,21.12662,2463,27.45098,66.66666
3.25,21.74799,2463,27.45098,66.66666
3.31,21.74799,2547,27.45098,66.66666
3.374,21.74799,2547,27.45098,65.09804
3.435,22.36936,2547,27.45098,65.09804
3.5,22.36936,2547,27.45098,65.09804
3.56,22.36936,2615,27.84314,65.09804
3.624,22.36936,2615,27.84314,64.70588
3.684,22.99073,2615,27.84314,64.70588
3.75,22.99073,2704,27.84314,64.70588
3.81,22.99073,2704,28.23529,64.31373
3.874,23.6121,2704,28.23529,64.31373
3.934,23.6121,2704,28.23529,64.31373
4,23.6121,2770,27.84314,64.31373
4.06,23.6121,2770,27.84314,64.31373
4.124,24.23348,2770,27.84314,64.31373
4.184,24.23348,2856,27.84314,64.31373
4.25,24.23348,2856,27.84314,62.7451
4.31,24.85485,2856,27.84314,62.7451
4.374,24.85485,2856,27.84314,62.7451
4.434,24.85485,2917,27.45098,62.7451
4.5,25.47622,2917,27.45098,60.39216
4.559,25.47622,2917,27.45098,60.39216
4.622,25.47622,3001,27.45098,60.39216
4.685,25.47622,3001,27.45098,61.17647
4.748,26.71896,3001,27.45098,61.17647
4.812,26.71896,3067,27.45098,61.17647
4.872,26.71896,3067,27.45098,59.21569
4.936,27.34033,3067,27.45098,59.21569
5,27.34033,3140,27.45098,59.21569
5.06,27.34033,3140,27.05882,58.43137
5.124,27.34033,3140,27.05882,58.43137
5.184,27.34033,3140,27.05882,58.43137
5.25,27.34033,3209,27.45098,58.43137
5.31,28.58307,3209,27.45098,58.43137
5.374,28.58307,3209,27.45098,58.43137
5.434,28.58307,3275,25.09804,58.43137
5.5,28.58307,3275,25.09804,50.58823
5.56,28.58307,3275,25.09804,50.58823
5.624,28.58307,3342,25.09804,50.58823
5.684,28.58307,3342,25.09804,49.41177
5.75,29.20445,3342,25.09804,49.41177
5.81,29.20445,3392,25.09804,49.41177
5.874,29.20445,3392,25.09804,49.01961
5.934,29.82582,3392,25.09804,49.01961
6,29.82582,3392,25.09804,49.01961
6.06,29.82582,3453,24.31373,49.01961
6.124,29.82582,3453,24.31373,45.09804
6.184,30.44719,3453,24.31373,45.09804
6.25,30.44719,3494,24.31373,45.09804
6.31,30.44719,3494,23.92157,40.78431
6.374,30.44719,3494,23.92157,40.78431
