# StartTime = 07/20/2018 01:33:06.3941 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,0,2237,0,0
0.064,0,2237,25.09804,62.35294
0.123,59.65163,2237,25.09804,62.35294
0.187,59.65163,2237,25.09804,62.35294
0.251,59.65163,2244,25.88235,62.35294
0.312,59.65163,2244,25.88235,63.13726
0.377,59.65163,2244,25.88235,63.13726
0.437,59.65163,2252,25.88235,63.13726
0.501,59.65163,2252,26.66667,68.23529
0.561,59.65163,2252,26.66667,68.23529
0.627,59.65163,2252,26.66667,68.23529
0.687,59.65163,2254,26.66667,68.23529
0.751,59.65163,2254,26.66667,66.66666
0.814,60.27301,2254,26.66667,66.66666
0.877,60.27301,2258,26.66667,66.66666
0.937,60.27301,2258,27.05882,66.27451
1.001,60.27301,2258,27.05882,66.27451
1.061,60.27301,2265,27.05882,66.27451
1.127,60.27301,2265,27.05882,67.45098
1.187,60.27301,2265,27.05882,67.45098
1.251,60.27301,2265,27.05882,67.45098
1.311,60.27301,2271,27.05882,67.45098
1.377,60.27301,2271,27.05882,67.05882
1.437,60.89438,2271,27.05882,67.05882
1.501,60.89438,2279,27.05882,67.05882
1.561,60.89438,2279,27.05882,67.05882
1.627,60.89438,2279,27.05882,67.05882
1.687,60.89438,2279,27.05882,67.05882
1.751,60.89438,2283,27.45098,67.05882
1.811,60.89438,2283,27.45098,68.23529
1.877,60.89438,2283,27.45098,68.23529
1.937,60.89438,2296,27.45098,68.23529
1.999,60.89438,2296,27.84314,68.62745
2.063,60.89438,2296,27.84314,68.62745
2.127,60.89438,2296,27.84314,68.62745
2.187,60.89438,2299,28.23529,68.62745
2.251,61.51575,2299,28.23529,72.94118
2.311,61.51575,2299,28.23529,72.94118
2.374,61.51575,2311,30.58824,72.94118
2.438,61.51575,2311,30.58824,73.72549
2.502,61.51575,2311,30.58824,73.72549
2.562,61.51575,2314,30.58824,73.72549
2.627,61.51575,2314,30.58824,74.11765
2.687,61.51575,2314,30.58824,74.11765
2.751,61.51575,2327,30.58824,74.11765
2.811,61.51575,2327,30.58824,74.11765
2.877,62.13712,2327,30.58824,73.33334
2.937,62.13712,2327,30.58824,73.33334
3,62.13712,2338,30.58824,73.33334
3.064,62.13712,2338,30.19608,72.54902
3.127,62.13712,2338,30.19608,72.54902
3.187,62.13712,2337,30.19608,72.54902
3.249,62.13712,2337,29.41176,71.76471
3.312,62.13712,2337,29.41176,71.76471
3.377,62.13712,2337,29.41176,71.76471
3.439,62.13712,2348,28.62745,71.76471
3.499,62.75849,2348,28.62745,71.76471
3.563,62.75849,2348,28.62745,71.76471
3.627,62.75849,2348,28.62745,71.76471
3.687,62.75849,2348,27.84314,69.01961
3.751,62.75849,2348,27.84314,69.01961
3.811,62.75849,2348,27.84314,69.01961
3.877,62.75849,2363,27.45098,69.01961
3.937,63.37986,2363,27.45098,69.41177
4.001,63.37986,2363,27.45098,69.41177
4.062,63.37986,2374,27.45098,69.41177
4.127,63.37986,2374,27.45098,68.23529
4.185,63.37986,2374,27.45098,68.23529
4.248,63.37986,2374,27.45098,68.23529
4.311,63.37986,2387,26.66667,68.23529
4.374,63.37986,2387,26.66667,66.27451
4.437,63.37986,2387,26.66667,66.27451
4.499,63.37986,2386,26.66667,66.27451
4.563,64.00124,2386,26.66667,66.27451
4.627,64.00124,2386,26.66667,66.27451
4.687,64.00124,2400,26.66667,66.27451
4.751,64.00124,2400,26.66667,66.27451
4.811,64.00124,2400,26.66667,66.27451
4.877,64.00124,2406,26.66667,66.27451
4.937,64.00124,2406,26.66667,66.27451
5.001,64.00124,2406,26.66667,66.27451
5.063,64.00124,2406,26.66667,66.27451
5.127,64.00124,2420,26.66667,66.27451
5.187,64.00124,2420,26.66667,66.27451
5.251,64.6226,2420,26.66667,66.27451
5.311,64.6226,2417,26.66667,66.27451
5.374,64.6226,2417,26.66667,65.88235
5.439,64.6226,2417,26.66667,65.88235
5.499,64.6226,2417,26.66667,65.88235
5.563,64.6226,2431,26.66667,65.88235
5.627,64.6226,2431,26.66667,64.31373
5.687,64.6226,2431,26.66667,64.31373
5.751,64.6226,2446,26.66667,64.31373
5.811,64.6226,2446,26.66667,64.70588
5.874,65.24397,2446,26.66667,64.70588
5.938,65.24397,2446,26.66667,64.70588
6.002,65.24397,2454,26.66667,64.70588
