# StartTime = 07/20/2018 01:34:03.0529 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,0,0,0,0
0.06,0,2811,0,0
0.122,0,2811,21.56863,36.86274
0.19,74.56454,2811,21.56863,36.86274
0.246,74.56454,2811,21.56863,36.86274
0.314,74.56454,2811,21.56863,36.86274
0.374,75.18591,2811,21.56863,37.2549
0.434,75.18591,2811,21.56863,37.2549
0.496,75.18591,2811,21.56863,37.2549
0.564,75.18591,2811,21.56863,36.07843
0.624,74.56454,2811,21.56863,36.07843
0.684,74.56454,2811,21.56863,36.07843
0.746,74.56454,2808,21.96078,36.07843
0.814,74.56454,2808,21.96078,37.2549
0.874,74.56454,2808,21.96078,37.2549
0.934,74.56454,2817,21.96078,37.2549
0.996,74.56454,2817,25.88235,59.21569
1.064,75.18591,2817,25.88235,59.21569
1.122,75.18591,2818,25.88235,59.21569
1.187,75.18591,2818,25.4902,57.64706
1.247,75.18591,2818,25.4902,57.64706
1.315,75.18591,2818,25.4902,57.64706
1.371,75.18591,2824,25.4902,57.64706
1.436,75.18591,2824,25.4902,56.07843
1.496,75.18591,2824,25.4902,56.07843
1.564,75.18591,2830,25.4902,56.07843
1.623,75.18591,2830,28.62745,62.35294
1.69,75.18591,2830,28.62745,62.35294
1.746,75.18591,2830,28.62745,62.35294
1.814,75.18591,2833,29.80392,62.35294
1.874,75.80729,2833,29.80392,69.41177
1.934,75.80729,2833,29.80392,69.41177
1.997,75.80729,2838,29.80392,69.41177
2.065,75.80729,2838,29.80392,67.84314
2.121,75.80729,2838,29.80392,67.84314
2.185,75.80729,2846,29.80392,67.84314
2.246,75.80729,2846,29.41176,67.45098
2.314,75.80729,2846,29.41176,67.45098
2.374,75.80729,2846,29.41176,67.45098
2.434,75.80729,2854,29.01961,67.45098
2.496,75.80729,2854,29.01961,65.4902
2.562,76.42866,2854,29.01961,65.4902
2.621,76.42866,2861,29.01961,65.4902
2.687,76.42866,2861,28.62745,65.09804
2.746,76.42866,2861,28.62745,65.09804
2.813,76.42866,2863,28.62745,65.09804
2.872,76.42866,2863,28.23529,64.31373
2.936,76.42866,2863,28.23529,64.31373
2.996,76.42866,2863,28.23529,64.31373
3.064,76.42866,2866,27.84314,64.31373
3.124,76.42866,2866,27.84314,63.92157
3.185,76.42866,2866,27.84314,63.92157
3.249,76.42866,2874,27.84314,63.92157
3.309,76.42866,2874,27.84314,62.7451
3.373,76.42866,2874,27.84314,62.7451
3.433,76.42866,2874,27.84314,62.7451
3.497,76.42866,2874,27.84314,62.7451
3.565,77.05003,2874,27.84314,62.35294
3.623,77.05003,2874,27.84314,62.35294
3.683,77.05003,2884,27.84314,62.35294
3.746,77.05003,2884,28.23529,62.7451
3.814,77.05003,2884,28.23529,62.7451
3.874,77.05003,2872,28.23529,62.7451
3.934,77.05003,2872,27.84314,61.96078
3.996,77.05003,2872,27.84314,61.96078
4.064,77.05003,2872,27.84314,61.96078
4.124,77.05003,2895,27.45098,61.96078
4.184,77.05003,2895,27.45098,62.7451
4.246,77.05003,2895,27.45098,62.7451
4.314,77.05003,2899,27.45098,62.7451
4.374,77.05003,2899,27.45098,61.56863
4.434,77.05003,2899,27.45098,61.56863
4.497,77.05003,2899,27.45098,61.56863
4.565,77.05003,2900,27.45098,61.56863
4.621,77.6714,2900,27.45098,61.96078
4.686,77.6714,2900,27.45098,61.96078
4.746,77.6714,2908,27.45098,61.96078
4.814,77.6714,2908,27.45098,61.96078
4.874,77.6714,2908,27.45098,61.96078
4.934,77.6714,2910,27.45098,61.96078
4.996,77.6714,2910,27.45098,61.56863
5.064,77.6714,2910,27.45098,61.56863
5.123,77.6714,2913,27.45098,61.56863
5.183,77.6714,2913,27.45098,61.96078
5.245,77.6714,2913,27.45098,61.96078
5.315,77.6714,2913,27.45098,61.96078
5.371,77.6714,2917,27.45098,61.96078
5.436,77.6714,2917,27.45098,61.96078
5.496,77.6714,2917,27.45098,61.96078
5.564,77.6714,2917,27.45098,61.96078
5.623,77.6714,2917,27.45098,62.35294
5.686,77.6714,2917,27.45098,62.35294
5.746,77.6714,2925,27.45098,62.35294
5.814,77.6714,2925,27.45098,61.96078
5.874,77.6714,2925,27.45098,61.96078
5.934,77.6714,2925,27.45098,61.96078
5.996,77.6714,2927,27.45098,61.96078
6.064,77.6714,2927,27.45098,60.78431
6.124,78.29277,2927,27.45098,60.78431
6.184,78.29277,2928,27.45098,60.78431
6.246,78.29277,2928,27.84314,62.7451
6.314,78.29277,2928,27.84314,62.7451
6.374,78.29277,2936,27.84314,62.7451
6.434,78.29277,2936,27.45098,62.7451
6.496,78.29277,2936,27.45098,60.78431
