# StartTime = 07/20/2018 01:40:23.9388 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,26.09759,0,0,0
0.066,26.09759,1995,0,0
0.126,26.09759,1995,29.80392,72.54902
0.19,26.71896,1995,29.80392,72.54902
0.25,26.71896,1995,29.80392,72.54902
0.316,26.71896,2034,29.80392,72.54902
0.376,27.34033,2034,29.80392,73.33334
0.44,27.34033,2034,29.80392,73.33334
0.503,27.34033,2075,29.80392,73.33334
0.566,27.34033,2075,29.80392,71.37255
0.626,27.9617,2075,29.80392,71.37255
0.69,27.9617,2110,29.80392,71.37255
0.75,27.9617,2110,30.19608,73.33334
0.816,28.58307,2110,30.19608,73.33334
0.876,28.58307,2110,30.19608,73.33334
0.94,28.58307,2147,30.19608,73.33334
1,29.20445,2147,30.19608,71.76471
1.066,29.20445,2147,30.19608,71.76471
1.126,29.20445,2191,30.19608,71.76471
1.19,29.82582,2191,30.19608,72.94118
1.25,29.82582,2191,30.19608,72.94118
1.316,29.82582,2232,30.19608,72.94118
1.376,29.82582,2232,30.58824,72.54902
1.44,29.82582,2232,30.58824,72.54902
1.503,29.82582,2232,30.58824,72.54902
1.566,29.82582,2266,30.58824,72.54902
1.626,30.44719,2266,30.58824,72.54902
1.69,30.44719,2266,30.58824,72.54902
1.75,30.44719,2311,30.58824,72.54902
1.813,30.44719,2311,30.58824,72.15686
1.876,31.06856,2311,30.58824,72.15686
1.939,31.06856,2345,30.58824,72.15686
2.002,31.06856,2345,30.58824,73.72549
2.067,31.68993,2345,30.58824,73.72549
2.127,31.68993,2393,30.58824,73.72549
2.191,31.68993,2393,29.01961,67.45098
2.251,31.68993,2393,29.01961,67.45098
2.316,31.68993,2393,29.01961,67.45098
2.376,31.68993,2410,25.09804,67.45098
2.44,32.3113,2410,25.09804,56.07843
2.5,32.3113,2410,25.09804,56.07843
2.565,32.3113,2438,25.09804,56.07843
2.628,32.3113,2438,25.09804,58.03922
2.688,32.93267,2438,25.09804,58.03922
2.752,32.93267,2438,25.09804,58.03922
2.816,32.93267,2455,23.52941,48.62745
2.876,32.93267,2455,23.52941,48.62745
2.94,32.93267,2455,23.52941,48.62745
3,32.93267,2490,23.52941,48.62745
3.066,32.93267,2490,23.52941,52.15686
3.126,33.55404,2490,23.52941,52.15686
3.188,33.55404,2511,23.52941,52.15686
3.252,33.55404,2511,22.35294,46.27451
3.316,33.55404,2511,22.35294,46.27451
3.376,33.55404,2532,22.35294,46.27451
3.44,33.55404,2532,20.78431,37.64706
3.5,34.17542,2532,20.78431,37.64706
3.566,34.17542,2532,20.78431,37.64706
3.628,34.17542,2551,21.56863,37.64706
3.688,34.17542,2551,21.56863,37.2549
3.752,34.17542,2551,21.56863,37.2549
3.816,34.17542,2569,21.56863,37.2549
3.876,34.17542,2569,21.17647,38.43137
3.94,34.17542,2569,21.17647,38.43137
4,34.17542,2569,21.17647,38.43137
4.066,34.17542,2596,21.17647,38.43137
4.126,34.17542,2596,21.17647,36.47059
4.19,34.17542,2596,21.17647,36.47059
4.25,34.17542,2600,21.17647,36.47059
4.316,34.17542,2600,21.17647,37.64706
4.376,34.79679,2600,21.17647,37.64706
4.44,34.79679,2599,21.17647,37.64706
4.502,34.79679,2599,18.43137,32.94118
4.566,34.79679,2599,18.43137,32.94118
4.626,34.79679,2599,18.43137,32.94118
4.69,34.79679,2596,18.03922,32.94118
4.75,34.79679,2596,18.03922,20
4.816,34.79679,2596,18.03922,20
4.876,34.79679,2580,18.03922,20
4.94,34.79679,2580,15.68627,17.2549
5,34.17542,2580,15.68627,17.2549
5.063,34.17542,2580,15.68627,17.2549
5.127,34.17542,2578,15.68627,17.2549
5.191,34.17542,2578,15.68627,10.19608
5.251,34.17542,2578,15.68627,10.19608
5.316,34.17542,2560,15.68627,10.19608
5.376,34.17542,2560,15.68627,10.19608
5.44,34.17542,2560,15.68627,10.19608
5.502,34.17542,2554,15.68627,10.19608
5.566,34.17542,2554,16.86275,10.98039
5.626,34.17542,2554,16.86275,10.98039
5.688,34.17542,2520,16.86275,10.98039
5.752,34.17542,2520,15.29412,11.37255
5.816,33.55404,2520,15.29412,11.37255
5.876,33.55404,2520,15.29412,11.37255
5.94,33.55404,2521,17.2549,11.37255
6,33.55404,2521,17.2549,12.94118
6.066,33.55404,2521,17.2549,12.94118
6.126,33.55404,2521,17.2549,12.94118
6.188,33.55404,2495,15.68627,12.94118
6.252,33.55404,2495,15.68627,10.19608
6.316,33.55404,2495,15.68627,10.19608
6.376,33.55404,2493,16.86275,10.19608
6.44,33.55404,2493,16.86275,14.5098
