# StartTime = 07/20/2018 01:53:17.7217 PM									
Time (sec)	 Vehicle speed (MPH)	 Engine RPM (RPM)	 Absolute throttle position (%)	 Absolute load value (%)		MPH	RPM	Throttle 	Load
0	0	2235	0	0					
0.061	0	2235	27.45098	0					
0.125	30.44719	2235	27.45098	70.98039		30	2250	27	70
0.189	30.44719	2235	27.45098	70.98039		30	2250	27	70
0.249	30.44719	2299	27.45098	70.98039		30	2250	27	70
0.311	30.44719	2299	27.45098	67.84314		30	2250	27	68
0.375	31.06856	2299	27.45098	67.84314		30	2250	27	68
0.439	31.06856	2340	27.45098	67.84314		30	2375	27	68
0.499	31.06856	2340	27.84314	67.84314		30	2375	28	68
0.562	31.68993	2340	27.84314	67.84314		33	2375	28	68
0.626	31.68993	2340	27.84314	67.84314		33	2375	28	68
0.686	31.68993	2393	27.84314	67.84314		33	2375	28	68
0.75	32.3113	2393	27.84314	67.45098		33	2375	28	68
0.811	32.3113	2393	27.84314	67.45098		33	2375	28	68
0.875	32.3113	2440	27.84314	67.45098		33	2500	28	68
0.939	32.3113	2440	27.84314	66.66666		33	2500	28	66
0.999	32.93267	2440	27.84314	66.66666		33	2500	28	66
1.061	32.93267	2440	27.84314	66.66666		33	2500	28	66
1.125	32.93267	2480	28.23529	66.66666		33	2500	28	66
1.189	33.55404	2480	28.23529	66.66666		33	2500	28	66
1.25	33.55404	2480	28.23529	66.66666		33	2500	28	66
1.313	33.55404	2528	28.23529	66.66666		33	2500	28	66
1.377	34.17542	2528	27.84314	65.4902		33	2500	28	66
1.437	34.17542	2528	27.84314	65.4902		33	2500	28	66
1.501	34.17542	2574	27.84314	65.4902		33	2625	28	66
1.561	34.17542	2574	27.45098	64.70588		33	2625	27	64
1.625	34.79679	2574	27.45098	64.70588		36	2625	27	64
1.689	34.79679	2614	27.45098	64.70588		36	2625	27	64
1.749	34.79679	2614	27.45098	63.13726		36	2625	27	64
1.811	35.41816	2614	27.45098	63.13726		36	2625	27	64
1.875	35.41816	2614	27.45098	63.13726		36	2625	27	64
1.937	35.41816	2659	27.45098	63.13726		36	2625	27	64
2.001	36.03953	2659	27.45098	63.52941		36	2625	27	64
2.061	36.03953	2659	27.45098	63.52941		36	2625	27	64
2.125	36.03953	2711	27.45098	63.52941		36	2750	27	64
2.188	36.6609	2711	27.05882	62.35294		36	2750	27	62
2.251	36.6609	2711	27.05882	62.35294		36	2750	27	62
2.312	36.6609	2758	27.05882	62.35294		36	2750	27	62
2.375	36.6609	2758	27.05882	61.96078		36	2750	27	62
2.439	37.28227	2758	27.05882	61.96078		36	2750	27	62
2.499	37.28227	2758	27.05882	61.96078		36	2750	27	62
2.561	37.28227	2815	27.05882	61.96078		36	2875	27	62
2.625	37.90364	2815	27.05882	60.39216		39	2875	27	60
2.689	37.90364	2815	27.05882	60.39216		39	2875	27	60
2.749	37.90364	2856	27.05882	60.39216		39	2875	27	60
2.811	37.90364	2856	26.66667	57.64706		39	2875	27	58
2.875	38.52501	2856	26.66667	57.64706		39	2875	27	58
2.939	38.52501	2902	26.66667	57.64706		39	2875	27	58
2.999	38.52501	2902	26.27451	57.64706		39	2875	26	58
3.061	39.14639	2902	26.27451	57.64706		39	2875	26	58
3.125	39.14639	2902	26.27451	57.64706		39	2875	26	58
3.189	39.14639	2944	26.27451	57.64706		39	3000	26	58
3.251	39.76776	2944	26.27451	56.47059		39	3000	26	56
3.314	39.76776	2944	26.27451	56.47059		39	3000	26	56
3.377	39.76776	2980	25.09804	56.47059		39	3000	25	56
3.436	40.38913	2980	25.09804	53.33333		39	3000	25	54
3.499	40.38913	2980	25.09804	53.33333		39	3000	25	54
3.561	40.38913	3024	25.09804	53.33333		39	3000	25	54
3.625	40.38913	3024	25.09804	50.98039		39	3000	25	50
3.689	40.38913	3024	25.09804	50.98039		39	3000	25	50
3.749	40.38913	3024	25.09804	50.98039		39	3000	25	50
3.811	40.38913	3063	24.70588	50.98039		39	3125	25	50
3.875	41.0105	3063	24.70588	50.98039		42	3125	25	50
3.937	41.0105	3063	24.70588	50.98039		42	3125	25	50
4	41.0105	3101	24.70588	50.98039		42	3125	25	50
4.061	41.0105	3101	24.31373	48.23529		42	3125	24	48
4.125	41.63187	3101	24.31373	48.23529		42	3125	24	48
4.189	41.63187	3101	24.31373	48.23529		42	3125	24	48
4.248	41.63187	3144	23.52941	48.23529		42	3125	24	48
4.311	41.63187	3144	23.52941	47.84314		42	3125	24	48
4.377	42.25324	3144	23.52941	47.84314		42	3125	24	48
4.437	42.25324	3145	23.52941	47.84314		42	3125	24	48
4.501	42.25324	3145	18.43137	36.86274		42	3125	18	36
4.561	42.25324	3145	18.43137	36.86274		42	3125	18	36
4.625	42.25324	3187	18.43137	36.86274		42	3125	18	36
4.689	42.25324	3187	20.78431	18.03922		42	3125	21	18
4.749	42.87461	3187	20.78431	18.03922		42	3125	21	18
4.811	42.87461	3187	20.78431	18.03922		42	3125	21	18
4.875	42.87461	3205	18.43137	18.03922		42	3250	18	18
4.939	42.87461	3205	18.43137	15.68627		42	3250	18	16
4.999	42.87461	3205	18.43137	15.68627		42	3250	18	16
5.062	42.87461	3211	16.47059	15.68627		42	3250	16	16
5.126	42.87461	3211	16.47059	10.19608		42	3250	16	10
5.186	42.87461	3211	16.47059	10.19608		42	3250	16	10
5.25	42.87461	3190	16.47059	10.19608		42	3250	16	10
5.311	42.87461	3190	16.47059	10.19608		42	3250	16	10
5.375	43.49598	3190	16.47059	10.19608		42	3250	16	10
5.439	43.49598	3190	16.47059	10.19608		42	3250	16	10
5.501	43.49598	3199	16.47059	10.19608		42	3250	16	10
5.562	43.49598	3199	16.47059	10.58823		42	3250	16	10
5.626	42.87461	3199	16.47059	10.58823		42	3250	16	10
5.686	42.87461	3214	16.47059	10.58823		42	3250	16	10
5.75	42.87461	3214	16.47059	10.58823		42	3250	16	10
5.811	42.87461	3214	16.47059	10.58823		42	3250	16	10
5.875	42.87461	3216	16.47059	10.58823		42	3250	16	10
5.938	42.87461	3216	16.47059	10.58823		42	3250	16	10
6.001	42.87461	3216	16.47059	10.58823		42	3250	16	10
6.061	42.87461	3216	16.47059	10.58823		42	3250	16	10
6.125	42.87461	3216	17.64706	10.58823		42	3250	18	10
6.189	42.87461	3216	17.64706	13.33333		42	3250	18	14
6.251	43.49598	3216	17.64706	13.33333		42	3250	18	14
6.311	43.49598	3262	17.64706	13.33333		42	3250	18	14
6.375	43.49598	3262	22.7451	29.80392		42	3250	23	30
6.438	43.49598	3262	22.7451	29.80392		42	3250	23	30
6.5	43.49598	3262	22.7451	29.80392		42	3250	23	30
6.561	43.49598	3269	23.92157	29.80392		42	3250	24	30
6.625	44.11736	3269	23.92157	42.7451		45	3250	24	42
6.689	44.11736	3269	23.92157	42.7451		45	3250	24	42
6.749	44.11736	3302	23.92157	42.7451		45	3250	24	42
6.811	44.11736	3302	23.92157	41.17647		45	3250	24	42
6.875	44.11736	3302	23.92157	41.17647		45	3250	24	42
6.94	44.11736	3331	23.92157	41.17647		45	3375	24	42
7	44.11736	3331	23.92157	41.17647		45	3375	24	42
7.061	44.73873	3331	23.92157	41.17647		45	3375	24	42
7.125	44.73873	3331	23.92157	41.17647		45	3375	24	42
7.189	44.73873	3364	23.92157	41.17647		45	3375	24	42
7.249	45.3601	3364	23.92157	41.56863		45	3375	24	42
7.311	45.3601	3364	23.92157	41.56863		45	3375	24	42
7.375	45.3601	3395	23.92157	41.56863		45	3375	24	42
7.439	45.3601	3395	23.92157	41.17647		45	3375	24	42
7.498	45.3601	3395	23.92157	41.17647		45	3375	24	42
7.561	45.3601	3429	23.92157	41.17647		45	3375	24	42
7.625	45.3601	3429	23.52941	39.60784		45	3375	24	40
7.689	45.98147	3429	23.52941	39.60784		45	3375	24	40
7.749	45.98147	3429	23.52941	39.60784		45	3375	24	40
