MPH,RPM,Throttle ,Load,Gear
75,2750,22,36,6
75,2750,22,36,6
75,2750,22,36,6
75,2750,22,38,6
75,2750,22,38,6
75,2750,22,38,6
75,2750,22,36,6
75,2750,22,36,6
75,2750,22,36,6
75,2750,22,36,6
75,2750,22,38,6
75,2750,22,38,6
75,2875,22,38,6
75,2875,26,60,6
75,2875,26,60,6
75,2875,26,60,6
75,2875,25,58,6
75,2875,25,58,6
75,2875,25,58,6
75,2875,25,58,6
75,2875,25,56,6
75,2875,25,56,6
75,2875,25,56,6
75,2875,29,62,6
75,2875,29,62,6
75,2875,29,62,6
75,2875,30,62,6
75,2875,30,70,6
75,2875,30,70,6
75,2875,30,70,6
75,2875,30,68,6
75,2875,30,68,6
75,2875,30,68,6
75,2875,29,68,6
75,2875,29,68,6
75,2875,29,68,6
75,2875,29,68,6
75,2875,29,66,6
75,2875,29,66,6
75,2875,29,66,6
75,2875,29,66,6
75,2875,29,66,6
75,2875,29,66,6
75,2875,28,64,6
75,2875,28,64,6
75,2875,28,64,6
75,2875,28,64,6
75,2875,28,64,6
75,2875,28,64,6
75,2875,28,64,6
75,2875,28,62,6
75,2875,28,62,6
75,2875,28,62,6
75,2875,28,62,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,62,6
78,2875,27,60,6
78,2875,27,60,6
78,2875,27,60,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,28,62,6
78,2875,27,62,6
78,2875,27,60,6
78,2875,27,60,6
78,3000,27,60,6
78,3000,27,62,6
78,3000,27,62,6
78,3000,27,62,6
78,3000,27,60,6
78,3000,27,60,6
78,3000,27,60,6
78,2875,16,60,6
78,2875,16,48,6
78,2875,16,48,6
78,2875,16,48,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,18,14,6
75,2875,18,14,6
75,2875,18,14,6
75,2875,20,26,6
75,2875,20,26,6
75,2875,20,26,6
75,2875,23,26,6
75,2875,23,44,6
75,2875,23,44,6
75,2875,23,44,6
75,2875,23,46,6
75,2875,23,46,6
75,2875,23,46,6
75,2875,24,46,6
75,2875,24,44,6
75,2875,24,44,6
75,2875,24,44,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
75,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,54,6
78,2875,25,52,6
78,2875,25,52,6
78,2875,25,52,6
78,2875,25,52,6
78,2875,25,52,6
78,2875,25,52,6
78,2875,24,52,6
78,2875,24,52,6
78,2875,24,52,6
78,2875,17,52,6
78,2875,17,28,6
78,2875,17,28,6
78,2875,17,28,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
78,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,16,10,6
75,2875,18,10,6
75,2875,18,14,6
75,2875,18,14,6
75,2875,20,14,6
75,2875,20,18,6
75,2875,20,18,6
75,2875,20,18,6
75,2875,24,48,6
75,2875,24,48,6
75,2875,24,48,6
75,2875,24,48,6
75,2875,24,48,6
75,2875,24,48,6
75,2875,24,48,6
75,2875,24,48,6
75,2875,24,48,6
75,2875,21,48,6
75,2875,21,36,6
75,2875,21,36,6
75,2875,21,36,6
75,2875,20,36,6
75,2875,20,30,6
75,2875,20,30,6
75,2875,20,30,6
75,2875,20,28,6
75,2875,20,28,6
75,2875,20,28,6
75,2875,18,24,6
75,2875,18,24,6
75,2875,18,24,6
75,2875,17,24,6
75,2875,17,18,6
75,2875,17,18,6
75,2750,16,18,6
75,2750,16,12,6
75,2750,16,12,6
75,2750,16,12,6
75,2750,16,10,6
75,2750,16,10,6
75,2750,16,10,6
75,2750,18,10,6
75,2750,18,10,6
75,2750,18,10,6
75,2875,22,10,6
75,2875,22,30,6
75,2875,22,30,6
75,2750,22,30,6
75,2750,22,40,6
75,2750,22,40,6
75,2750,22,40,6
75,2750,22,38,6
75,2750,22,38,6
75,2750,22,38,6
75,2750,22,38,6
75,2750,22,40,6
75,2750,22,40,6
75,2750,22,40,6
75,2750,22,38,6
75,2750,22,38,6
75,2750,22,38,6
75,2750,20,30,6
75,2750,20,30,6
75,2750,20,30,6
75,2750,18,18,6
75,2750,18,18,6
75,2750,18,18,6
75,2750,16,18,6
75,2750,16,10,6
75,2750,16,10,6
75,2750,16,10,6
75,2750,16,10,6
75,2750,16,10,6
75,2750,16,10,6
75,2750,16,10,6
72,2750,16,10,6
72,2750,16,10,6
72,2750,16,10,6
72,2750,16,10,6
72,2750,16,10,6
72,2750,16,10,6
72,2750,16,10,6
72,2750,16,10,6
72,2750,16,10,6
72,2750,17,10,6
72,2750,17,12,6
72,2750,17,12,6
72,2750,17,12,6
72,2750,17,14,6
72,2750,17,14,6
72,2750,17,14,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,18,6
72,2750,18,18,6
72,2750,18,18,6
72,2750,18,18,6
72,2750,18,18,6
72,2750,18,18,6
72,2750,18,18,6
72,2750,18,18,6
72,2750,18,18,6
72,2750,18,18,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,18,16,6
72,2750,17,16,6
72,2750,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,16,6
72,2625,17,14,6
72,2625,17,14,6
72,2625,17,14,6
72,2625,16,14,6
72,2625,16,14,6
72,2625,16,14,6
72,2625,16,14,6
72,2625,16,14,6
69,2625,16,14,6
69,2625,16,14,6
69,2625,17,14,6
72,2625,17,14,6
72,2625,17,14,6
72,2625,15,14,6
72,2625,15,12,6
69,2625,15,12,6
69,2625,15,12,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,16,10,6
69,2625,18,12,6
69,2625,18,12,6
69,2625,18,12,6
69,2625,20,12,6
69,2625,20,18,6
69,2625,20,18,6
69,2625,20,18,6
69,2625,22,26,6
69,2625,22,26,6
69,2625,22,26,6
69,2625,23,26,6
69,2625,23,42,6
69,2625,23,42,6
69,2625,23,42,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,48,6
69,2625,23,48,6
69,2625,23,48,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,22,44,6
69,2625,22,44,6
69,2625,22,44,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,44,6
69,2625,23,44,6
69,2625,23,44,6
69,2625,23,48,6
69,2625,23,48,6
69,2625,23,48,6
69,2625,23,48,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,23,46,6
69,2625,24,48,6
69,2625,24,48,6
69,2625,24,48,6
69,2625,24,52,6
69,2625,24,52,6
69,2625,24,52,6
69,2625,24,52,6
69,2625,24,52,6
69,2625,24,52,6
69,2625,24,52,6
69,2625,25,56,6
69,2625,25,56,6
69,2625,25,56,6
69,2625,26,56,6
69,2625,26,62,6
69,2625,26,62,6
69,2625,26,62,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,64,6
69,2625,27,62,6
69,2625,27,62,6
69,2625,26,62,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,28,58,6
69,2625,28,58,6
69,2625,28,58,6
69,2625,31,58,6
69,2625,31,72,6
69,2625,31,72,6
69,2625,31,72,6
69,2625,37,72,6
69,2625,37,74,6
69,2625,37,74,6
69,2625,38,74,6
69,2625,38,74,6
69,2625,38,74,6
69,2625,38,74,6
69,2625,38,74,6
69,2625,38,78,6
69,2625,38,78,6
69,2625,38,78,6
69,2625,38,72,6
69,2625,38,72,6
69,2625,38,72,6
69,2625,36,76,6
69,2625,36,76,6
69,2625,36,76,6
69,2625,36,76,6
69,2625,36,74,6
69,2625,36,74,6
69,2625,35,74,6
69,2625,35,76,6
69,2625,35,76,6
69,2625,35,76,6
69,2625,35,76,6
69,2625,35,76,6
69,2625,35,76,6
69,2625,35,76,6
72,2625,35,72,6
72,2625,35,72,6
72,2625,35,72,6
72,2625,35,74,6
72,2625,35,74,6
72,2625,35,74,6
72,2625,34,74,6
72,2625,34,74,6
72,2625,34,74,6
72,2625,33,74,6
72,2625,33,72,6
72,2625,33,72,6
72,2625,33,72,6
72,2625,33,72,6
72,2625,33,72,6
72,2625,33,72,6
72,2625,33,72,6
72,2625,33,70,6
72,2625,33,70,6
72,2625,33,70,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,70,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,32,72,6
72,2625,31,72,6
72,2625,31,70,6
72,2625,31,70,6
72,2625,31,70,6
72,2625,31,70,6
72,2625,31,70,6
72,2625,31,70,6
72,2625,31,70,6
72,2625,31,70,6
72,2625,31,70,6
72,2625,28,66,6
72,2625,28,66,6
72,2625,28,66,6
72,2625,26,66,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
72,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,58,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,60,6
69,2625,26,58,6
69,2625,26,58,6
